\INPUT_FILE = /exodata/ETSS-prep/KELT/doN04/raw/KELT_N04_lc_012502_V01_west_tfa.dat
\INPUT_TYPE = "RAW"
\START_DATE = "Fri Oct 27, 11:06:17 2006"               
\STOP_DATE = "Mon Nov 24, 11:50:37 2008"               
\fixlen = T
\NUMRECORDS = 192      
\
\ This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu 
\ Wed Mar 02, 05:44:46 2016
\ Documentation for the KELT Survey dataset can be found at http://exoplanetarchive.ipac.caltech.edu/docs/KELT.html
\
|          TIME|     MAG|MAG_ERR|
|          real|    real|   real|
|             d|     mag|    mag|
|          null|    null|   null|
 2454035.962698 15.35064 0.02370 
 2454035.968161 15.33643 0.02374 
 2454035.973626 15.38140 0.02367 
 2454035.979092 15.36877 0.02302 
 2454038.949626 15.37422 0.02248 
 2454038.955089 15.34837 0.02098 
 2454038.960554 15.37960 0.02069 
 2454038.966016 15.36585 0.02093 
 2454038.971479 15.37210 0.02138 
 2454040.943480 15.35951 0.02597 
 2454040.948944 15.40105 0.02475 
 2454040.954407 15.39838 0.02563 
 2454040.959870 15.37643 0.02520 
 2454041.943883 15.37070 0.02126 
 2454041.949397 15.38775 0.02186 
 2454081.834273 15.40708 0.02482 
 2454081.839633 15.37624 0.02502 
 2454081.844993 15.38211 0.02453 
 2454082.827092 15.40114 0.02591 
 2454082.832460 15.36397 0.02383 
 2454082.837831 15.37886 0.02407 
 2454082.843194 15.38963 0.02450 
 2454082.848562 15.37680 0.02432 
 2454083.829607 15.40018 0.02286 
 2454083.834969 15.38794 0.02281 
 2454083.840340 15.35055 0.02108 
 2454094.799300 15.38471 0.02414 
 2454094.804865 15.41261 0.02426 
 2454094.810431 15.37246 0.02423 
 2454094.815995 15.37901 0.02577 
 2454094.821562 15.37681 0.02491 
 2454094.827128 15.36164 0.02429 
 2454094.832695 15.37048 0.02501 
 2454095.797131 15.40682 0.02432 
 2454095.802698 15.37891 0.02389 
 2454095.808269 15.38081 0.02281 
 2454095.813841 15.36836 0.02303 
 2454095.819412 15.38695 0.02671 
 2454116.736202 15.36334 0.02211 
 2454116.741768 15.37648 0.02199 
