\INPUT_FILE = /exodata/ETSS-prep/KELT/doN04/raw/KELT_N04_lc_024754_V01_east_raw.dat
\INPUT_TYPE = "RAW"
\START_DATE = "Fri Oct 27, 07:24:43 2006"               
\STOP_DATE = "Mon Nov 24, 08:15:02 2008"               
\fixlen = T
\NUMRECORDS = 1834     
\
\ This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu 
\ Wed Mar 02, 05:41:31 2016
\ Documentation for the KELT Survey dataset can be found at http://exoplanetarchive.ipac.caltech.edu/docs/KELT.html
\
|          TIME|     MAG|MAG_ERR|
|          real|    real|   real|
|             d|     mag|    mag|
|          null|    null|   null|
 2454035.808833 15.34487 0.02388 
 2454035.813455 15.38041 0.02398 
 2454035.818076 15.35980 0.02386 
 2454035.822697 15.37656 0.02477 
 2454035.827319 15.38827 0.02363 
 2454035.831941 15.36573 0.02287 
 2454035.836563 15.33772 0.02357 
 2454035.841186 15.36608 0.02310 
 2454035.845806 15.37626 0.02291 
 2454035.850427 15.39035 0.02264 
 2454035.855048 15.36633 0.02217 
 2454035.947571 15.35687 0.02250 
 2454036.847877 15.57874 0.02357 
 2454036.892842 15.70245 0.02330 
 2454036.895031 15.77665 0.02650 
 2454036.913516 15.74653 0.02197 
 2454036.918136 15.81292 0.02270 
 2454036.922757 15.65225 0.01749 
 2454037.808447 15.37040 0.02040 
 2454037.813067 15.37219 0.01996 
 2454037.817691 15.35739 0.02134 
 2454037.831554 15.36559 0.01920 
 2454037.836175 15.34676 0.01901 
 2454037.840798 15.37467 0.02101 
 2454037.845418 15.35387 0.01718 
 2454037.850040 15.34398 0.02016 
 2454037.854661 15.35980 0.01822 
 2454037.859283 15.35747 0.01497 
 2454037.863903 15.36469 0.01880 
 2454037.868525 15.36432 0.01821 
 2454037.911053 15.34603 0.01589 
 2454037.934156 15.33599 0.01996 
 2454038.804999 15.38356 0.01747 
 2454038.809621 15.33571 0.01832 
 2454038.814242 15.36491 0.01800 
 2454038.818864 15.34445 0.01878 
 2454038.823486 15.34906 0.01806 
 2454038.828109 15.36121 0.01819 
 2454038.832731 15.36282 0.01746 
 2454038.837351 15.35829 0.01802 
 2454038.841972 15.36867 0.01889 
 2454038.846594 15.34624 0.01792 
 2454038.851216 15.37960 0.01865 
 2454038.855838 15.35875 0.01822 
 2454038.860459 15.34847 0.01832 
 2454038.865080 15.36022 0.01839 
 2454038.870544 15.34614 0.01771 
 2454038.876007 15.35597 0.01810 
 2454038.881470 15.34696 0.01805 
 2454038.886934 15.35853 0.01793 
 2454038.889122 15.34487 0.01773 
 2454038.893745 15.34079 0.01812 
 2454038.898367 15.35920 0.01806 
 2454038.902992 15.36198 0.01807 
 2454038.907612 15.35679 0.01848 
 2454038.912234 15.36637 0.01759 
 2454038.916855 15.35661 0.01846 
 2454038.921475 15.36263 0.01832 
 2454038.926098 15.33644 0.01876 
 2454038.930719 15.38524 0.01827 
 2454038.935340 15.32960 0.01871 
 2454038.939961 15.35691 0.01867 
 2454038.944583 15.36905 0.01867 
 2454039.844214 15.83517 0.02119 
 2454039.880435 16.00559 0.02222 
 2454039.885057 16.30807 0.02859 
 2454039.889678 15.99385 0.02321 
 2454040.818191 15.34533 0.02948 
 2454040.822810 15.34595 0.02970 
 2454040.827432 15.35770 0.02916 
 2454040.832053 15.36840 0.02867 
 2454040.836673 15.34844 0.02749 
 2454040.841292 15.36255 0.02814 
 2454040.845912 15.36270 0.02651 
 2454040.850532 15.35513 0.02696 
 2454040.855152 15.36079 0.02669 
 2454040.859772 15.41993 0.02563 
 2454040.865237 15.38389 0.02519 
 2454040.870700 15.36690 0.02586 
 2454040.876163 15.35077 0.02444 
 2454040.878350 15.35698 0.02371 
 2454040.882971 15.37053 0.02248 
 2454040.887591 15.35919 0.02213 
 2454040.892213 15.40414 0.02193 
 2454040.896835 15.36219 0.02145 
 2454040.901459 15.34363 0.02151 
 2454040.906083 15.32968 0.02212 
 2454040.910705 15.35419 0.02186 
 2454040.915326 15.35653 0.02167 
 2454040.919947 15.37677 0.02264 
 2454040.924568 15.36942 0.02177 
 2454040.929191 15.38443 0.02132 
 2454040.933815 15.31998 0.02172 
 2454040.938437 15.37300 0.02211 
 2454041.826614 15.35221 0.02953 
 2454041.831287 15.39725 0.02694 
 2454041.835958 15.36395 0.02822 
 2454041.845297 15.39452 0.02690 
 2454041.860157 15.33681 0.02746 
 2454041.865677 15.34951 0.02736 
 2454041.867865 15.36944 0.02775 
 2454041.877212 15.32790 0.02706 
 2454041.881887 15.36735 0.02649 
 2454041.886559 15.33881 0.02685 
 2454041.891230 15.36932 0.02774 
 2454041.914586 15.35967 0.02223 
 2454041.919257 15.36991 0.02671 
 2454041.928602 15.38909 0.02098 
 2454041.933274 15.35269 0.02170 
 2454051.801919 15.56208 0.02188 
 2454051.806438 15.50815 0.02249 
 2454051.810961 15.53522 0.02401 
 2454051.815486 15.54785 0.02397 
 2454051.820008 15.53269 0.02391 
 2454051.824527 15.51833 0.02414 
 2454051.829050 15.51802 0.02276 
 2454051.834414 15.52405 0.02378 
 2454051.839783 15.50214 0.02393 
 2454051.845153 15.49746 0.02334 
 2454051.850522 15.48037 0.02343 
 2454051.868727 15.47635 0.02348 
 2454051.872929 15.41628 0.02382 
 2454051.877131 15.45079 0.02361 
 2454051.881334 15.42930 0.02317 
 2454051.885543 15.41441 0.02292 
 2454051.889744 15.43794 0.02377 
 2454053.812312 15.36034 0.02003 
 2454053.816835 15.35061 0.02002 
 2454053.825876 15.35365 0.01994 
 2454053.831238 15.36387 0.01931 
 2454053.836606 15.36370 0.01943 
 2454053.841976 15.37602 0.01933 
 2454053.858076 15.37865 0.02077 
 2454053.860180 15.33518 0.02162 
 2454053.864695 15.35969 0.02214 
 2454054.772709 15.34908 0.01946 
 2454054.777228 15.39437 0.01897 
 2454054.781752 15.36456 0.01951 
 2454054.786274 15.35224 0.01951 
 2454054.790792 15.37910 0.01914 
 2454054.795316 15.35570 0.01929 
 2454054.799839 15.34319 0.02002 
 2454054.804358 15.37118 0.01915 
 2454054.808881 15.36256 0.01954 
 2454054.813405 15.36890 0.01921 
 2454054.817922 15.35277 0.01922 
 2454054.822444 15.33539 0.01976 
 2454054.827808 15.34720 0.01928 
 2454054.833179 15.33802 0.01961 
 2454054.838548 15.37077 0.02000 
 2454054.843920 15.36035 0.02029 
 2454054.849290 15.36006 0.02035 
 2454054.854661 15.33776 0.02030 
 2454054.856763 15.34690 0.02022 
 2454054.861286 15.32705 0.02040 
 2454054.865804 15.35262 0.01980 
 2454054.870329 15.37337 0.01998 
 2454054.874850 15.35449 0.01996 
 2454054.879368 15.33396 0.02063 
 2454054.883894 15.35055 0.02059 
 2454054.888416 15.35422 0.02077 
 2454054.892933 15.35953 0.02042 
 2454055.772343 15.35558 0.02071 
 2454055.776868 15.32678 0.02070 
 2454055.781390 15.34459 0.02077 
 2454055.785908 15.36354 0.02038 
 2454055.790433 15.35740 0.02013 
