\INPUT_FILE = /exodata/ETSS-prep/KELT/doN04/raw/KELT_N04_lc_024754_V01_east_tfa.dat
\INPUT_TYPE = "RAW"
\START_DATE = "Fri Oct 27, 07:24:43 2006"               
\STOP_DATE = "Mon Nov 24, 08:15:02 2008"               
\fixlen = T
\NUMRECORDS = 1670     
\
\ This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu 
\ Wed Mar 02, 05:44:40 2016
\ Documentation for the KELT Survey dataset can be found at http://exoplanetarchive.ipac.caltech.edu/docs/KELT.html
\
|          TIME|     MAG|MAG_ERR|
|          real|    real|   real|
|             d|     mag|    mag|
|          null|    null|   null|
 2454035.808833 15.33394 0.02388 
 2454035.813455 15.37539 0.02398 
 2454035.818076 15.35454 0.02386 
 2454035.822697 15.36592 0.02477 
 2454035.827319 15.38025 0.02363 
 2454035.831941 15.36581 0.02287 
 2454035.836563 15.32884 0.02357 
 2454035.841186 15.35955 0.02310 
 2454035.845806 15.37627 0.02291 
 2454035.850427 15.37682 0.02264 
 2454035.855048 15.36467 0.02217 
 2454035.947571 15.35023 0.02250 
 2454037.808447 15.36275 0.02040 
 2454037.813067 15.36305 0.01996 
 2454037.817691 15.34104 0.02134 
 2454037.831554 15.34821 0.01920 
 2454037.836175 15.33229 0.01901 
 2454037.840798 15.36783 0.02101 
 2454037.845418 15.34582 0.01718 
 2454037.850040 15.33393 0.02016 
 2454037.854661 15.34698 0.01822 
 2454037.859283 15.34991 0.01497 
 2454037.863903 15.35326 0.01880 
 2454037.868525 15.34926 0.01821 
 2454037.911053 15.34017 0.01589 
 2454037.934156 15.32116 0.01996 
 2454038.804999 15.37101 0.01747 
 2454038.809621 15.32302 0.01832 
 2454038.814242 15.35133 0.01800 
 2454038.818864 15.33232 0.01878 
 2454038.823486 15.33798 0.01806 
 2454038.828109 15.34111 0.01819 
 2454038.832731 15.34039 0.01746 
 2454038.837351 15.34360 0.01802 
 2454038.841972 15.35572 0.01889 
 2454038.846594 15.34263 0.01792 
 2454038.851216 15.36651 0.01865 
 2454038.855838 15.34475 0.01822 
 2454038.860459 15.33921 0.01832 
 2454038.865080 15.34435 0.01839 
 2454038.870544 15.33680 0.01771 
 2454038.876007 15.34554 0.01810 
 2454038.881470 15.34068 0.01805 
 2454038.886934 15.34969 0.01793 
 2454038.889122 15.33656 0.01773 
 2454038.893745 15.33291 0.01812 
 2454038.898367 15.35495 0.01806 
 2454038.902992 15.34779 0.01807 
 2454038.907612 15.34347 0.01848 
 2454038.912234 15.36016 0.01759 
 2454038.916855 15.35413 0.01846 
 2454038.921475 15.34537 0.01832 
 2454038.926098 15.33492 0.01876 
 2454038.930719 15.37738 0.01827 
 2454038.935340 15.32330 0.01871 
 2454038.939961 15.34954 0.01867 
 2454038.944583 15.37017 0.01867 
 2454040.818191 15.33705 0.02948 
 2454040.822810 15.33962 0.02970 
 2454040.827432 15.35555 0.02916 
 2454040.832053 15.34201 0.02867 
 2454040.836673 15.34854 0.02749 
 2454040.841292 15.35195 0.02814 
 2454040.845912 15.35976 0.02651 
 2454040.850532 15.33961 0.02696 
 2454040.855152 15.35074 0.02669 
 2454040.859772 15.41973 0.02563 
 2454040.865237 15.36937 0.02519 
 2454040.870700 15.36261 0.02586 
 2454040.876163 15.33910 0.02444 
 2454040.878350 15.34650 0.02371 
 2454040.882971 15.36241 0.02248 
 2454040.887591 15.35661 0.02213 
 2454040.892213 15.40099 0.02193 
 2454040.896835 15.35132 0.02145 
 2454040.901459 15.33648 0.02151 
 2454040.906083 15.32128 0.02212 
 2454040.910705 15.34990 0.02186 
 2454040.915326 15.35189 0.02167 
 2454040.919947 15.36863 0.02264 
 2454040.924568 15.36298 0.02177 
 2454040.929191 15.37962 0.02132 
 2454040.933815 15.31570 0.02172 
 2454040.938437 15.36323 0.02211 
 2454041.826614 15.34483 0.02953 
 2454041.831287 15.38909 0.02694 
 2454041.835958 15.34993 0.02822 
 2454041.845297 15.38775 0.02690 
 2454041.860157 15.32086 0.02746 
 2454041.865677 15.33287 0.02736 
 2454041.867865 15.35632 0.02775 
 2454041.877212 15.32041 0.02706 
 2454041.881887 15.35886 0.02649 
 2454041.886559 15.32326 0.02685 
 2454041.891230 15.34891 0.02774 
 2454041.914586 15.35084 0.02223 
 2454041.919257 15.35713 0.02671 
 2454041.928602 15.38600 0.02098 
 2454041.933274 15.34645 0.02170 
 2454051.806438 15.49589 0.02249 
 2454051.810961 15.52470 0.02401 
 2454051.815486 15.53390 0.02397 
 2454051.820008 15.51046 0.02391 
 2454051.824527 15.51126 0.02414 
 2454051.829050 15.50175 0.02276 
 2454051.834414 15.51154 0.02378 
 2454051.839783 15.47946 0.02393 
 2454051.845153 15.48306 0.02334 
 2454051.850522 15.47124 0.02343 
 2454051.868727 15.46211 0.02348 
 2454051.872929 15.39522 0.02382 
 2454051.877131 15.43590 0.02361 
 2454051.881334 15.42499 0.02317 
 2454051.885543 15.40913 0.02292 
 2454051.889744 15.42284 0.02377 
 2454053.812312 15.35237 0.02003 
 2454053.816835 15.34316 0.02002 
 2454053.825876 15.33826 0.01994 
 2454053.831238 15.34829 0.01931 
 2454053.836606 15.36272 0.01943 
 2454053.841976 15.36592 0.01933 
 2454053.858076 15.36378 0.02077 
 2454053.860180 15.31692 0.02162 
 2454053.864695 15.34336 0.02214 
 2454054.772709 15.34018 0.01946 
 2454054.777228 15.37161 0.01897 
 2454054.781752 15.34547 0.01951 
 2454054.786274 15.33274 0.01951 
 2454054.790792 15.36616 0.01914 
 2454054.795316 15.34451 0.01929 
 2454054.799839 15.33790 0.02002 
 2454054.804358 15.36402 0.01915 
 2454054.808881 15.35553 0.01954 
 2454054.813405 15.35849 0.01921 
 2454054.817922 15.33879 0.01922 
 2454054.822444 15.32775 0.01976 
 2454054.827808 15.32952 0.01928 
 2454054.833179 15.33249 0.01961 
 2454054.838548 15.36002 0.02000 
 2454054.843920 15.35560 0.02029 
 2454054.849290 15.35607 0.02035 
 2454054.854661 15.33550 0.02030 
 2454054.856763 15.33872 0.02022 
 2454054.861286 15.32239 0.02040 
 2454054.865804 15.35677 0.01980 
 2454054.870329 15.36418 0.01998 
 2454054.874850 15.35408 0.01996 
 2454054.879368 15.32941 0.02063 
 2454054.883894 15.35409 0.02059 
 2454054.888416 15.35652 0.02077 
 2454054.892933 15.35167 0.02042 
 2454055.772343 15.35037 0.02071 
 2454055.776868 15.32146 0.02070 
 2454055.781390 15.34229 0.02077 
 2454055.785908 15.34948 0.02038 
 2454055.790433 15.34391 0.02013 
 2454055.794955 15.34308 0.02054 
 2454055.799480 15.32939 0.02008 
 2454055.804000 15.34178 0.02016 
 2454055.808523 15.36489 0.01948 
 2454055.813048 15.33885 0.01990 
 2454055.817571 15.35110 0.01972 
 2454055.822937 15.31249 0.02005 
 2454055.828306 15.33447 0.01974 
 2454055.833676 15.33317 0.01950 
 2454055.839046 15.33695 0.01969 
 2454055.844417 15.33684 0.02023 
