\INPUT_FILE = /exodata/ETSS-prep/KELT/doN04/raw/KELT_N04_lc_070323_V01_west_raw.dat
\INPUT_TYPE = "RAW"
\START_DATE = "Fri Oct 27, 11:06:17 2006"               
\STOP_DATE = "Mon Nov 24, 11:50:37 2008"               
\fixlen = T
\NUMRECORDS = 199      
\
\ This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu 
\ Wed Mar 02, 01:25:27 2016
\ Documentation for the KELT Survey dataset can be found at http://exoplanetarchive.ipac.caltech.edu/docs/KELT.html
\
|          TIME|     MAG|MAG_ERR|
|          real|    real|   real|
|             d|     mag|    mag|
|          null|    null|   null|
 2454035.962698 14.45326 0.01081 
 2454035.968161 14.43923 0.01091 
 2454035.973626 14.45044 0.01075 
 2454035.979092 14.44906 0.01068 
 2454036.956367 14.47614 0.01034 
 2454036.972757 14.45998 0.01083 
 2454036.978220 14.47234 0.01082 
 2454038.949626 14.45210 0.01133 
 2454038.955089 14.44624 0.01044 
 2454038.960554 14.44839 0.01039 
 2454038.966016 14.44205 0.01032 
 2454038.971479 14.45304 0.01025 
 2454040.943480 14.46608 0.01207 
 2454040.948944 14.45410 0.01108 
 2454040.954407 14.46508 0.01118 
 2454040.959870 14.46574 0.01134 
 2454041.943883 14.74423 0.00911 
 2454041.949397 14.74494 0.00971 
 2454080.834104 14.47043 0.01181 
 2454080.839473 14.45556 0.01087 
 2454080.844836 14.45376 0.01099 
 2454080.850203 14.43554 0.01109 
 2454081.834273 14.45826 0.00993 
 2454081.839633 14.47416 0.00987 
 2454081.844993 14.46383 0.00998 
 2454082.827092 14.46947 0.01120 
 2454082.832460 14.46024 0.00996 
 2454082.837831 14.46832 0.00999 
 2454082.843194 14.45907 0.01002 
 2454082.848562 14.46541 0.00994 
 2454083.829607 14.45372 0.00999 
 2454083.834969 14.44274 0.00960 
 2454083.840340 14.44576 0.00922 
 2454094.799300 14.45652 0.00966 
 2454094.804865 14.46705 0.00955 
 2454094.810431 14.44597 0.00958 
 2454094.815995 14.43964 0.00969 
 2454094.821562 14.43578 0.00966 
 2454094.827128 14.43704 0.00948 
 2454094.832695 14.44347 0.00945 
