\INPUT_FILE = /exodata/ETSS-prep/KELT/s12/raw/KELT_S12_lc_025329_V01_west_raw.dat
\INPUT_TYPE = "RAW"
\START_DATE = "Mon Mar 29, 03:20:20 2010"               
\STOP_DATE = "Sat Sep 13, 18:14:15 2014"               
\fixlen = T
\NUMRECORDS = 1689     
\
\ This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu 
\ Wed Jan 08, 16:08:16 2020
\ Documentation for the KELT Survey dataset can be found at http://exoplanetarchive.ipac.caltech.edu/docs/KELT.html
\
|          TIME|     MAG|MAG_ERR|
|          real|    real|   real|
|             d|     mag|    mag|
|          null|    null|   null|
 2455284.639125 14.10250 0.04262 
 2455285.626163 14.08215 0.05104 
 2455285.644870 14.12959 0.05240 
 2455293.602629 14.27095 0.03090 
 2455293.613388 14.17309 0.03061 
 2455293.622096 14.21207 0.03060 
 2455293.630752 14.23684 0.02991 
 2455293.637303 14.17512 0.02958 
 2455293.641652 14.27614 0.03013 
 2455294.611253 14.08223 0.02815 
 2455294.619921 14.09963 0.02814 
 2455294.628518 14.12356 0.02842 
 2455294.635137 14.14742 0.02792 
 2455294.639495 14.10749 0.02758 
 2455294.643831 14.12514 0.02807 
 2455297.601532 14.04099 0.02740 
 2455298.599892 14.09329 0.02526 
 2455298.613586 14.06183 0.02615 
 2455298.629350 14.09361 0.02699 
 2455298.645174 14.04843 0.02729 
 2455299.596718 14.08839 0.02504 
 2455299.610421 14.11411 0.02639 
 2455299.626170 14.09748 0.02746 
 2455299.642010 14.08960 0.02702 
 2455299.655631 14.07852 0.02793 
 2455300.597833 14.07904 0.02758 
 2455300.611529 14.14061 0.02559 
 2455300.627365 14.12582 0.02697 
 2455300.641002 14.11221 0.02735 
 2455300.654615 14.06682 0.02748 
 2455304.591337 14.25521 0.02415 
 2455304.605039 14.23588 0.02403 
 2455304.620883 14.26425 0.02412 
 2455304.634503 14.24265 0.02448 
 2455304.645911 14.22694 0.02501 
 2455305.587911 14.13003 0.02367 
 2455305.601614 14.06690 0.02425 
 2455305.617449 14.14139 0.02402 
 2455305.631071 14.12740 0.02327 
 2455305.644845 14.11501 0.02389 
 2455305.656258 14.14388 0.02479 
 2455312.552038 14.12922 0.04041 
 2455312.570607 14.10738 0.03923 
 2455312.582002 14.05837 0.03856 
 2455312.595513 14.09923 0.03764 
 2455312.609015 14.04956 0.03343 
 2455312.622532 14.13878 0.03907 
 2455312.633844 14.22800 0.02925 
 2455312.647380 14.17414 0.02890 
 2455324.536023 14.07808 0.02363 
 2455324.549752 14.09704 0.02465 
 2455324.563473 14.07901 0.02589 
 2455324.574992 14.10298 0.02441 
 2455324.586484 14.08386 0.02570 
 2455324.595710 14.12256 0.02717 
 2455324.607157 14.15964 0.02620 
 2455324.618614 14.14312 0.03043 
 2455332.497433 14.11776 0.02564 
 2455332.518331 14.11881 0.02463 
 2455332.534154 14.14956 0.02486 
 2455332.550006 14.12952 0.02739 
 2455332.563642 14.09536 0.02925 
 2455337.496878 14.21272 0.02560 
 2455337.510599 14.25937 0.02564 
 2455337.526467 14.14317 0.02753 
 2455337.540108 14.17278 0.02672 
 2455337.553755 14.14326 0.02782 
 2455337.565195 14.12666 0.02869 
 2455337.578833 14.11779 0.03000 
 2455338.495717 14.13883 0.02380 
 2455338.509442 14.13064 0.02345 
 2455338.525295 14.09642 0.02591 
 2455338.538946 14.11851 0.02354 
 2455338.552754 14.13015 0.02488 
 2455338.564194 14.10555 0.02516 
 2455338.579887 14.12894 0.02678 
 2455339.489490 14.11519 0.03286 
 2455339.501005 14.14343 0.02964 
 2455339.514578 14.11281 0.02644 
 2455339.528227 14.09970 0.02239 
 2455339.541872 14.16074 0.02156 
 2455339.553306 14.14370 0.02235 
 2455339.566963 14.16197 0.02178 
 2455339.582663 14.12744 0.02427 
 2455340.491832 14.07338 0.03107 
 2455340.499231 14.12275 0.03760 
 2455340.506634 14.14909 0.03567 
 2455340.518222 14.11998 0.03536 
 2455340.529817 14.09696 0.03466 
 2455340.541434 14.12670 0.03133 
 2455340.550803 14.15507 0.03205 
 2455340.562411 14.10305 0.02868 
 2455340.576060 14.11639 0.02597 
 2455348.461004 14.20583 0.03531 
 2455348.469706 14.22837 0.03636 
 2455348.478423 14.18145 0.03855 
 2455348.487123 14.15936 0.03687 
 2455348.493715 14.14522 0.04339 
 2455348.498092 14.09082 0.04187 
 2455348.502467 14.15677 0.03879 
 2455348.506840 14.12039 0.03989 
 2455348.511213 14.14626 0.03851 
 2455348.515588 14.13500 0.04082 
 2455348.519958 14.22035 0.03921 
 2455348.524327 14.10899 0.03978 
 2455348.528701 14.09933 0.03768 
 2455348.533075 14.17545 0.03954 
 2455353.453524 14.08958 0.02125 
 2455353.467257 14.08379 0.01997 
 2455353.483140 14.12420 0.02084 
 2455353.496801 14.11320 0.02161 
 2455353.510466 14.12526 0.02203 
 2455353.521906 14.09789 0.02325 
 2455353.535574 14.13923 0.02341 
 2455359.434034 14.13285 0.01908 
 2455359.447848 14.13023 0.01806 
 2455359.463743 14.14510 0.01784 
 2455359.479706 14.08738 0.01755 
 2455359.493467 14.13636 0.01630 
 2455359.504967 14.11881 0.01819 
