\INPUT_FILE = /exodata/ETSS-prep/KELT/s12/raw/KELT_S12_lc_028632_V01_east_raw.dat
\INPUT_TYPE = "RAW"
\START_DATE = "Sat Mar 13, 02:12:55 2010"               
\STOP_DATE = "Tue Aug 19, 17:31:42 2014"               
\fixlen = T
\NUMRECORDS = 1954     
\
\ This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu 
\ Wed Jan 08, 16:08:15 2020
\ Documentation for the KELT Survey dataset can be found at http://exoplanetarchive.ipac.caltech.edu/docs/KELT.html
\
|          TIME|     MAG|MAG_ERR|
|          real|    real|   real|
|             d|     mag|    mag|
|          null|    null|   null|
 2455268.592304 14.28639 0.02494 
 2455268.606111 14.24096 0.02705 
 2455268.617693 14.24283 0.02772 
 2455268.631484 14.27767 0.02470 
 2455274.570802 14.31996 0.02945 
 2455274.584595 14.29041 0.02773 
 2455274.596174 14.30725 0.02842 
 2455274.609966 14.25272 0.02714 
 2455274.623769 14.30962 0.02664 
 2455275.564208 14.23812 0.02726 
 2455275.577999 14.21519 0.03114 
 2455275.591847 14.26369 0.02889 
 2455275.603435 14.24065 0.02970 
 2455275.617228 14.28044 0.02792 
 2455275.633085 14.29996 0.02567 
 2455276.560064 14.27196 0.02665 
 2455276.573860 14.21951 0.02528 
 2455276.587661 14.22013 0.02742 
 2455276.599230 14.29008 0.02430 
 2455276.613041 14.28574 0.02321 
 2455277.556308 14.25053 0.02961 
 2455277.570121 14.29303 0.02602 
 2455277.583913 14.25452 0.02551 
 2455277.595506 14.29046 0.02580 
 2455277.609301 14.32092 0.02545 
 2455277.623096 14.30727 0.02584 
 2455277.636786 14.27243 0.02751 
 2455280.548821 14.22249 0.02463 
 2455280.562619 14.20870 0.02591 
 2455280.576426 14.30277 0.02453 
 2455280.588011 14.27069 0.02591 
 2455280.601812 14.28770 0.02515 
 2455280.615606 14.24028 0.02524 
 2455280.629299 14.27411 0.02522 
 2455281.552033 14.22089 0.02866 
 2455281.565826 14.24202 0.02820 
 2455281.577414 14.29675 0.02799 
 2455281.591214 14.25645 0.02689 
 2455281.605012 14.23752 0.02848 
 2455281.618657 14.24573 0.02692 
 2455281.632344 14.31428 0.02629 
 2455284.538458 14.32907 0.06298 
 2455284.548002 14.22780 0.05929 
 2455284.557536 14.27868 0.05502 
 2455284.567066 14.27566 0.05310 
 2455284.574376 14.37359 0.05055 
 2455284.583914 14.35369 0.04917 
 2455284.593452 14.30063 0.04724 
 2455284.605045 14.37628 0.04939 
 2455284.618727 14.25447 0.04504 
 2455285.533535 14.36007 0.06002 
 2455285.540048 14.34133 0.06159 
 2455285.546497 14.26334 0.06082 
 2455285.552946 14.27586 0.06245 
 2455285.559390 14.27174 0.05922 
 2455285.564649 14.34973 0.06086 
 2455285.572012 14.36119 0.05800 
 2455285.579374 14.26834 0.06033 
 2455285.586748 14.24917 0.06013 
 2455285.594126 14.36314 0.05455 
 2455285.603555 14.22580 0.05343 
 2455285.615083 14.29600 0.05661 
 2455293.519449 14.37156 0.03295 
 2455293.533247 14.40557 0.03170 
 2455293.544847 14.38211 0.03165 
 2455293.558651 14.41739 0.03106 
 2455293.572456 14.45359 0.02874 
 2455293.584040 14.44158 0.02989 
 2455294.518434 14.31070 0.02995 
 2455294.532238 14.28312 0.02862 
 2455294.543829 14.30484 0.02838 
 2455294.557628 14.30833 0.02759 
 2455294.571429 14.31320 0.02762 
 2455294.580958 14.32606 0.02739 
 2455294.590495 14.31494 0.02752 
 2455294.600029 14.28025 0.02752 
 2455297.514420 14.27737 0.02561 
 2455297.528227 14.25517 0.02492 
 2455297.539823 14.26416 0.02821 
 2455297.553618 14.29142 0.02020 
 2455297.567427 14.32038 0.02154 
 2455297.581114 14.25531 0.02795 
 2455298.498948 14.25590 0.02769 
 2455298.512762 14.25958 0.02744 
 2455298.526572 14.25399 0.02523 
 2455298.538158 14.32161 0.02693 
 2455298.551972 14.30640 0.02631 
 2455298.565793 14.29662 0.02528 
