\INPUT_FILE = /exodata/ETSS-prep/KELT/s30/raw/KELT_S30_lc_029782_V01_west_tfa.dat
\INPUT_TYPE = "RAW"
\START_DATE = "Tue Sep 06, 03:07:23 2011"               
\STOP_DATE = "Wed Mar 04, 18:44:36 2015"               
\fixlen = T
\NUMRECORDS = 415      
\
\ This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu 
\ Mon Oct 21, 16:39:28 2019
\ Documentation for the KELT Survey dataset can be found at http://exoplanetarchive.ipac.caltech.edu/docs/KELT.html
\
|          TIME|     MAG|MAG_ERR|
|          real|    real|   real|
|             d|     mag|    mag|
|          null|    null|   null|
 2455810.630136 15.27975 0.04990 
 2455818.594649 15.44598 0.10234 
 2455819.599049 15.34472 0.09246 
 2455820.589258 15.30789 0.08185 
 2455822.593001 15.46120 0.10089 
 2455824.591717 15.34881 0.06228 
 2455825.588334 15.36777 0.06246 
 2455827.628341 15.27125 0.05301 
 2455830.632091 15.34561 0.06301 
 2455832.552488 15.42422 0.04927 
 2455834.556908 15.31205 0.04851 
 2455834.629061 15.35890 0.05068 
 2455835.543667 15.41013 0.04607 
 2455838.545759 15.36952 0.04701 
 2455844.588957 15.50805 0.09587 
 2455862.596110 15.42591 0.05259 
 2455863.511212 15.30054 0.04806 
 2455863.586237 15.35318 0.04657 
 2455864.509626 15.28894 0.04984 
 2455864.586910 15.31807 0.05478 
 2455867.464858 15.36961 0.04756 
 2455867.546536 15.27474 0.05142 
 2455868.504787 15.24982 0.05314 
 2455868.594042 15.31611 0.05799 
 2455869.508759 15.31251 0.05130 
 2455869.587638 15.32980 0.04836 
 2455872.511744 15.30263 0.07557 
 2455872.590551 15.31871 0.04734 
 2455873.509021 15.32336 0.08767 
 2455873.587850 15.35824 0.05247 
 2455876.464024 15.16252 0.13678 
 2455880.420939 15.37956 0.07517 
 2455880.506318 15.31065 0.07331 
 2455881.430615 15.33792 0.06952 
 2455882.432298 15.33375 0.06165 
 2455884.427485 15.35566 0.05183 
 2455885.443197 15.36425 0.04715 
 2455888.430230 15.29753 0.04901 
 2455888.504808 15.27398 0.04843 
 2455890.419589 15.29374 0.04766 
 2455891.465820 15.35642 0.04940 
 2455893.460553 15.28658 0.04648 
 2455894.543955 15.37024 0.05073 
 2455895.464339 15.51246 0.04889 
 2455896.408359 15.22006 0.05267 
 2455896.469599 15.41827 0.04901 
