\INPUT_FILE = /exodata/ETSS-prep/KELT/s30/raw/KELT_S30_lc_032042_V01_east_tfa.dat
\INPUT_TYPE = "RAW"
\START_DATE = "Wed Aug 31, 23:20:45 2011"               
\STOP_DATE = "Thu Nov 28, 21:03:42 2013"               
\fixlen = T
\NUMRECORDS = 323      
\
\ This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu 
\ Mon Oct 21, 16:39:27 2019
\ Documentation for the KELT Survey dataset can be found at http://exoplanetarchive.ipac.caltech.edu/docs/KELT.html
\
|          TIME|     MAG|MAG_ERR|
|          real|    real|   real|
|             d|     mag|    mag|
|          null|    null|   null|
 2455805.472747 15.38257 0.06372 
 2455808.476005 15.49533 0.04507 
 2455810.460029 15.35807 0.07216 
 2455810.545643 15.40196 0.05069 
 2455811.456927 15.39676 0.09228 
 2455811.502043 15.48946 0.07537 
 2455811.587623 15.42169 0.04099 
 2455812.514595 15.37934 0.08026 
 2455812.586407 15.43007 0.04593 
 2455814.450802 15.41687 0.11597 
 2455814.505375 15.38071 0.09311 
 2455814.591858 15.37950 0.07497 
 2455818.442809 15.43122 0.12662 
 2455818.511747 15.45149 0.10707 
 2455819.432798 15.35665 0.11527 
 2455819.514696 15.48575 0.09427 
 2455820.430902 15.46464 0.10034 
 2455820.510431 15.32706 0.08895 
 2455821.513590 15.40319 0.07980 
 2455822.427797 15.37622 0.08427 
 2455824.425606 15.46732 0.05405 
 2455824.505534 15.40764 0.05892 
 2455827.411798 15.43279 0.04897 
 2455827.461190 15.40623 0.04304 
 2455827.555936 15.35156 0.04135 
 2455828.402919 15.42706 0.05817 
 2455828.460862 15.48136 0.04190 
 2455828.553419 15.48084 0.04048 
 2455829.410037 15.34806 0.05103 
 2455829.472642 15.44536 0.04488 
 2455830.409147 15.45034 0.06264 
 2455830.471794 15.39939 0.05304 
 2455830.548095 15.45801 0.04878 
 2455831.405530 15.43642 0.05656 
 2455831.468196 15.45921 0.04771 
 2455832.402120 15.43723 0.05257 
 2455832.464759 15.40064 0.04505 
 2455834.386505 15.33545 0.06529 
 2455835.472109 15.38411 0.04849 
 2455838.381647 15.45591 0.07113 
 2455838.472389 15.38640 0.04522 
 2455841.373045 15.44402 0.09874 
 2455844.512761 15.44345 0.09709 
 2455862.344781 15.42831 0.06139 
 2455862.422600 15.53414 0.04582 
 2455863.346670 15.40520 0.05485 
 2455863.426695 15.30050 0.05283 
 2455864.337993 15.35491 0.05820 
 2455864.432190 15.33991 0.03735 
 2455865.406573 15.38019 0.04937 
 2455866.338506 15.54649 0.05501 
 2455867.390320 15.42495 0.06092 
 2455868.337512 15.41995 0.06440 
 2455868.423656 15.34629 0.05274 
 2455869.346254 15.40051 0.07276 
 2455869.430751 15.40348 0.05899 
 2455870.430792 15.43372 0.06353 
 2455871.349160 15.37522 0.09476 
 2455872.335572 15.41321 0.09583 
 2455872.431500 15.44613 0.07556 
 2455873.348766 15.49421 0.09915 
 2455873.430605 15.40330 0.09083 
 2455874.347429 15.47878 0.11415 
 2455874.428736 15.40619 0.08900 
 2455876.389275 15.40944 0.13326 
 2455877.341093 15.39356 0.13101 
 2455877.420110 15.40935 0.10963 
 2455880.351304 15.40184 0.05417 
 2455881.340482 15.48169 0.04994 
 2455882.344325 15.44834 0.04865 
 2455884.341796 15.48977 0.04908 
 2455887.344663 15.52963 0.05027 
 2455888.342484 15.35821 0.05060 
 2455890.346023 15.37686 0.05035 
 2455891.380804 15.43085 0.05032 
 2455893.376904 15.44646 0.04788 
 2456093.675847 15.29457 0.07321 
 2456094.676540 15.49521 0.08120 
 2456118.617115 15.42748 0.09080 
 2456118.673811 15.48062 0.06743 
 2456120.608176 15.42420 0.07112 
 2456120.674609 15.48297 0.05901 
 2456126.598007 15.35684 0.05519 
 2456126.677538 15.54242 0.06845 
 2456127.594587 15.42538 0.05514 
 2456127.673693 15.48675 0.04967 
 2456128.588677 15.41195 0.06138 
 2456131.630284 15.54721 0.06869 
 2456132.577077 15.43160 0.05452 
 2456132.626988 15.51883 0.05883 
 2456133.566945 15.36724 0.06922 
 2456133.642000 15.55540 0.05917 
 2456137.568331 15.42277 0.07204 
 2456137.631500 15.36279 0.04773 
 2456138.560942 15.36562 0.09669 
 2456138.636810 15.44937 0.05199 
 2456143.548670 15.34390 0.12129 
 2456143.634165 15.43799 0.09074 
 2456144.537243 15.46352 0.11530 
 2456144.649289 15.35583 0.07637 
 2456149.526377 15.40481 0.07530 
 2456149.590049 15.41918 0.06825 
 2456158.543614 15.38126 0.04514 
 2456158.641989 15.41756 0.04263 
 2456160.645306 15.38011 0.04823 
 2456161.490009 15.40666 0.06189 
 2456161.548839 15.42822 0.05284 
 2456161.642417 15.36575 0.03773 
 2456162.639120 15.41125 0.04444 
 2456163.495292 15.40243 0.05070 
 2456163.558399 15.43263 0.04666 
 2456163.637706 15.42014 0.04410 
 2456166.486217 15.41009 0.09334 
 2456166.548057 15.52774 0.06826 
 2456167.555505 15.42762 0.08353 
 2456168.473533 15.49218 0.10751 
 2456168.552402 15.39443 0.08125 
 2456170.548455 15.37053 0.10514 
 2456173.467938 15.51003 0.11637 
 2456173.552144 15.38615 0.09798 
 2456174.463837 15.48032 0.11091 
 2456175.461985 15.37160 0.09222 
 2456176.462236 15.39892 0.09739 
 2456178.447421 15.46805 0.05814 
 2456178.510402 15.40459 0.06522 
 2456178.591488 15.45198 0.06531 
 2456181.474781 15.48290 0.04532 
 2456181.554270 15.35627 0.04195 
 2456182.445664 15.31895 0.05105 
 2456182.508410 15.43595 0.04636 
 2456186.422570 15.41725 0.05504 
 2456186.513575 15.36301 0.04454 
 2456188.425949 15.40837 0.05989 
 2456188.505052 15.35092 0.04807 
 2456189.562501 15.39741 0.06247 
 2456190.417637 15.35921 0.04920 
 2456190.516256 15.45571 0.04437 
 2456191.420765 15.38329 0.05126 
 2456193.413868 15.40182 0.07986 
 2456195.403539 15.44370 0.08837 
 2456195.510116 15.40396 0.06346 
 2456196.401542 15.49722 0.09083 
 2456205.382150 15.44045 0.08630 
 2456205.473105 15.36106 0.07322 
 2456209.367458 15.40934 0.07538 
 2456211.365977 15.43775 0.05743 
 2456211.428878 15.39682 0.05033 
 2456211.505863 15.43634 0.04643 
 2456212.392763 15.38081 0.04691 
 2456212.469811 15.45862 0.04396 
 2456213.348665 15.44862 0.04363 
 2456213.423330 15.33382 0.04063 
 2456214.353341 15.44187 0.04748 
 2456214.419534 15.38322 0.04580 
 2456218.469526 15.44746 0.04006 
 2456219.340496 15.40020 0.06440 
 2456224.338076 15.45030 0.08578 
 2456225.339162 15.41822 0.08589 
 2456225.421714 15.46078 0.07376 
 2456226.444978 15.36389 0.07938 
 2456227.415477 15.47919 0.08848 
 2456232.341219 15.42959 0.11324 
 2456233.448847 15.51652 0.08681 
 2456239.351105 15.43541 0.05246 
 2456239.428099 15.39957 0.04207 
 2456240.380845 15.51813 0.05245 
 2456241.346959 15.36970 0.05772 
 2456242.350497 15.34264 0.05776 
 2456243.337765 15.44006 0.05294 
 2456244.337602 15.42555 0.05398 
 2456246.339085 15.37098 0.05317 
 2456253.338925 15.40936 0.05973 
 2456254.339185 15.37720 0.07230 
 2456255.339326 15.44929 0.07762 
 2456257.346032 15.47486 0.09533 
 2456258.377409 15.51914 0.10174 
 2456463.673509 15.55375 0.06603 
 2456471.659088 15.33143 0.11936 
 2456482.670973 15.45966 0.04977 
 2456483.605998 15.44793 0.07373 
 2456483.675360 15.39698 0.06084 
 2456484.603109 15.44156 0.07530 
 2456484.672595 15.42286 0.06318 
 2456485.603003 15.37055 0.06764 
 2456486.642429 15.36186 0.09183 
 2456487.596058 15.37341 0.07006 
 2456490.587370 15.52022 0.06255 
 2456495.628683 15.37576 0.11966 
 2456498.568828 15.56811 0.12558 
 2456498.631787 15.44874 0.10291 
 2456504.550335 15.38382 0.07545 
 2456504.629914 15.44680 0.06681 
 2456505.546808 15.55390 0.06745 
 2456505.629057 15.46373 0.05698 
 2456506.544729 15.40128 0.06093 
 2456506.636916 15.35938 0.06540 
 2456507.543321 15.49604 0.06642 
 2456507.635857 15.62682 0.05621 
 2456508.540678 15.45672 0.07151 
 2456508.596119 15.46172 0.06023 
 2456509.535686 15.32064 0.07299 
 2456509.593225 15.37060 0.05872 
 2456510.544202 15.45584 0.05702 
 2456510.636242 15.39895 0.04777 
 2456515.526326 15.39094 0.07194 
 2456515.596127 15.48934 0.05720 
 2456523.505685 15.37940 0.12914 
 2456523.591943 15.51803 0.08476 
 2456524.544141 15.37861 0.12174 
 2456524.630966 15.41702 0.08874 
 2456527.486448 15.51593 0.14349 
 2456527.548029 15.35175 0.10714 
 2456527.629190 15.46526 0.08839 
 2456528.482593 15.45545 0.13662 
 2456528.544012 15.43209 0.10345 
 2456528.629735 15.41769 0.07786 
 2456529.488216 15.43203 0.12662 
 2456529.545229 15.43959 0.09098 
 2456529.632467 15.44588 0.07555 
 2456531.486380 15.49542 0.09192 
 2456531.544332 15.40744 0.07865 
 2456531.632890 15.45608 0.06690 
 2456537.472076 15.41354 0.06843 
 2456537.551407 15.44499 0.05411 
 2456538.467826 15.35887 0.06374 
 2456538.548790 15.43331 0.05718 
 2456539.460692 15.44459 0.07173 
 2456540.450060 15.44110 0.07026 
 2456541.552119 15.44847 0.04945 
 2456542.451966 15.39402 0.05909 
 2456542.594323 15.41619 0.04815 
 2456543.448520 15.37696 0.11445 
 2456546.573534 15.47983 0.04641 
 2456547.441104 15.41175 0.10348 
 2456547.511326 15.43275 0.09002 
 2456547.588647 15.41261 0.04957 
 2456548.436842 15.37828 0.07794 
 2456548.508986 15.42643 0.05647 
 2456549.425591 15.46903 0.10670 
 2456549.558950 15.36858 0.04408 
 2456552.565947 15.34160 0.08354 
 2456553.419308 15.38479 0.15289 
 2456553.501784 15.45634 0.10905 
 2456554.412115 15.43768 0.18711 
 2456554.462087 15.50560 0.14190 
 2456554.549585 15.44110 0.11676 
 2456557.410360 15.39094 0.13035 
 2456557.467649 15.41741 0.11347 
 2456557.545036 15.38786 0.08711 
 2456558.468096 15.43292 0.10321 
 2456558.543915 15.40013 0.08467 
 2456559.409768 15.42491 0.10598 
 2456559.467323 15.48823 0.08311 
 2456559.544300 15.38353 0.07681 
 2456560.402608 15.42905 0.06641 
 2456560.464492 15.40589 0.07594 
 2456560.549082 15.41705 0.06526 
 2456561.401359 15.41737 0.06390 
 2456561.478062 15.43446 0.07446 
 2456561.550071 15.44067 0.05699 
 2456562.402404 15.45238 0.06117 
 2456562.470625 15.37319 0.06132 
 2456564.402008 15.36074 0.06526 
 2456564.466221 15.33190 0.04817 
 2456565.385275 15.43371 0.06903 
 2456565.463796 15.36582 0.05492 
 2456566.386806 15.43729 0.05889 
 2456566.475605 15.32670 0.04892 
 2456567.386087 15.47816 0.06007 
 2456567.466664 15.41837 0.04781 
 2456568.385421 15.41371 0.06841 
 2456568.466398 15.34206 0.06391 
 2456570.375864 15.40766 0.05275 
 2456572.362807 15.45625 0.06250 
 2456572.419084 15.37390 0.05825 
 2456572.502970 15.34051 0.04741 
 2456573.372308 15.58576 0.06209 
 2456574.360934 15.50892 0.05812 
 2456574.427339 15.43152 0.05330 
 2456574.503562 15.48299 0.04005 
 2456575.354872 15.42243 0.06910 
 2456575.419262 15.44366 0.05206 
 2456575.502096 15.44245 0.05485 
 2456577.422265 15.34702 0.10811 
 2456577.503053 15.47113 0.05447 
 2456579.347774 15.45850 0.09200 
 2456579.418830 15.37885 0.07628 
 2456579.503043 15.40303 0.06005 
 2456580.342430 15.36329 0.11685 
 2456580.419728 15.52161 0.11091 
 2456582.448575 15.35803 0.12939 
 2456588.342475 15.43514 0.08145 
 2456589.348847 15.40756 0.06497 
 2456589.427551 15.36804 0.07376 
 2456594.335881 15.44530 0.06467 
 2456594.425307 15.48080 0.05421 
 2456595.382284 15.50493 0.06396 
 2456599.335218 15.36864 0.06163 
 2456599.425627 15.40177 0.05162 
 2456600.422860 15.46042 0.04210 
 2456601.347135 15.42668 0.06884 
 2456601.424068 15.40300 0.04968 
 2456602.338550 15.48812 0.05500 
 2456602.421789 15.50157 0.06791 
 2456604.336317 15.49929 0.06749 
 2456604.418869 15.38082 0.04959 
 2456605.336220 15.40771 0.06439 
 2456605.418897 15.43131 0.04827 
 2456606.423171 15.54605 0.05252 
 2456607.337525 15.37561 0.08507 
 2456607.419827 15.34704 0.05842 
 2456608.338575 15.38260 0.07576 
 2456608.421969 15.45175 0.06360 
 2456609.344049 15.33557 0.08596 
 2456609.422080 15.38435 0.06779 
 2456610.343774 15.49712 0.09135 
 2456611.340928 15.42766 0.10409 
 2456615.344477 15.32980 0.12090 
 2456616.342878 15.35800 0.10297 
 2456618.340892 15.50216 0.04500 
 2456619.337107 15.35838 0.04933 
 2456621.340595 15.33815 0.05186 
 2456625.377570 15.49577 0.04586 
