\INPUT_FILE = /stage/nexsci-exo-data-prep/ETSS-prep/KELT/s34/raw/KELT_S34_lc_014406_V01_west_tfa.dat
\INPUT_TYPE = "RAW"
\START_DATE = "Mon Jan 04, 00:00:01 2010"               
\STOP_DATE = "Fri Jun 13, 17:25:01 2014"               
\fixlen = T
\NUMRECORDS = 2963     
\
\ This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu 
\ Wed Oct 23, 11:03:09 2019
\ Documentation for the KELT Survey dataset can be found at http://exoplanetarchive.ipac.caltech.edu/docs/KELT.html
\
|          TIME|     MAG|MAG_ERR|
|          real|    real|   real|
|             d|     mag|    mag|
|          null|    null|   null|
 2455200.500020 12.66541 0.00724 
 2455200.502093 12.66904 0.00738 
 2455200.504152 12.65939 0.00702 
 2455200.506210 12.66812 0.00719 
 2455200.508266 12.67207 0.00726 
 2455200.510325 12.66841 0.00707 
 2455200.512389 12.66266 0.00712 
 2455200.514449 12.66140 0.00703 
 2455200.516507 12.66837 0.00701 
 2455200.518564 12.67211 0.00703 
 2455200.520622 12.67216 0.00712 
 2455200.522681 12.66423 0.00692 
 2455200.524737 12.65945 0.00697 
 2455200.526796 12.68052 0.00725 
 2455200.528859 12.66541 0.00714 
 2455200.530921 12.65400 0.00687 
 2455200.532979 12.65628 0.00704 
 2455200.535034 12.67087 0.00723 
 2455200.537092 12.67366 0.00698 
 2455200.539152 12.66917 0.00706 
 2455200.541209 12.66126 0.00693 
 2455202.494773 12.66564 0.00634 
 2455202.496846 12.66439 0.00622 
 2455202.498905 12.66237 0.00627 
 2455202.500964 12.67078 0.00638 
 2455202.503025 12.67106 0.00633 
 2455202.505086 12.66325 0.00633 
 2455202.507144 12.65902 0.00606 
 2455202.509209 12.64746 0.00600 
 2455202.511267 12.66128 0.00618 
 2455202.513326 12.66392 0.00610 
 2455202.515388 12.66330 0.00610 
 2455202.517446 12.66379 0.00598 
 2455202.519509 12.65635 0.00601 
 2455202.521566 12.67095 0.00604 
 2455202.523627 12.66683 0.00597 
 2455202.525687 12.65539 0.00592 
 2455202.527749 12.66451 0.00598 
 2455202.529807 12.66863 0.00603 
 2455202.531870 12.67031 0.00603 
 2455202.533930 12.65888 0.00603 
 2455202.535988 12.65302 0.00586 
 2455202.538045 12.67560 0.00605 
 2455202.540102 12.65903 0.00592 
 2455202.542150 12.66523 0.00615 
 2455202.544210 12.66889 0.00594 
 2455202.546268 12.65590 0.00599 
 2455202.548328 12.67221 0.00605 
 2455202.550385 12.67422 0.00606 
 2455202.554507 12.65731 0.00608 
 2455202.558629 12.66642 0.00623 
 2455202.560686 12.66131 0.00594 
 2455202.562754 12.65956 0.00597 
 2455203.490429 12.65594 0.00572 
 2455203.492486 12.66859 0.00571 
 2455203.494557 12.66551 0.00573 
 2455203.496616 12.66641 0.00562 
 2455203.498676 12.66421 0.00572 
 2455203.500733 12.66624 0.00577 
 2455203.502793 12.64500 0.00550 
 2455203.504852 12.65552 0.00563 
 2455203.506911 12.67063 0.00572 
 2455203.508968 12.66409 0.00565 
 2455203.511025 12.66237 0.00560 
 2455203.513085 12.66483 0.00577 
 2455203.515144 12.66797 0.00577 
 2455203.517204 12.66018 0.00551 
 2455203.519264 12.66802 0.00581 
 2455203.521329 12.66707 0.00567 
 2455203.523387 12.66932 0.00566 
 2455203.525447 12.65983 0.00560 
 2455203.527505 12.66759 0.00565 
 2455203.529562 12.67195 0.00579 
 2455203.531621 12.66168 0.00551 
 2455203.541919 12.66269 0.00589 
 2455203.546036 12.66414 0.00579 
 2455203.554274 12.66533 0.00581 
 2455203.558389 12.66497 0.00579 
 2455203.560448 12.65673 0.00593 
 2455203.562509 12.67865 0.00577 
 2455203.564566 12.67207 0.00577 
 2455203.566629 12.66874 0.00582 
 2455203.568693 12.66101 0.00569 
 2455203.570751 12.65079 0.00576 
 2455203.572810 12.66091 0.00584 
 2455203.574868 12.66461 0.00582 
 2455203.576926 12.66478 0.00575 
 2455203.578987 12.66159 0.00566 
 2455203.581044 12.66339 0.00570 
 2455204.488034 12.64856 0.00564 
 2455204.490091 12.66735 0.00563 
 2455204.492165 12.66900 0.00554 
 2455204.494228 12.65575 0.00538 
 2455204.496290 12.66439 0.00552 
 2455204.498348 12.67215 0.00561 
 2455204.500405 12.66857 0.00546 
 2455204.502468 12.67055 0.00554 
 2455204.504531 12.66269 0.00565 
 2455204.506590 12.66644 0.00559 
 2455204.508649 12.66803 0.00551 
 2455204.510712 12.66351 0.00560 
 2455204.512773 12.66610 0.00541 
 2455204.514822 12.66284 0.00558 
 2455204.516879 12.66539 0.00547 
 2455204.518941 12.66374 0.00527 
 2455204.520998 12.66894 0.00544 
 2455204.523059 12.65384 0.00541 
 2455204.525126 12.65429 0.00545 
 2455204.527188 12.65963 0.00548 
 2455204.529248 12.66165 0.00543 
 2455204.531309 12.65367 0.00537 
 2455204.533367 12.66856 0.00550 
 2455204.535426 12.67366 0.00553 
 2455204.537487 12.65764 0.00546 
 2455204.539545 12.67102 0.00544 
 2455204.541604 12.66204 0.00543 
 2455204.543664 12.67217 0.00557 
 2455204.545712 12.65650 0.00546 
 2455204.547773 12.66098 0.00545 
 2455204.549832 12.65921 0.00551 
 2455204.551893 12.66008 0.00550 
 2455204.553951 12.66107 0.00551 
 2455204.556022 12.65972 0.00556 
 2455204.558084 12.66625 0.00570 
 2455204.560147 12.66980 0.00541 
 2455204.562208 12.66320 0.00551 
 2455204.564268 12.66297 0.00558 
 2455204.566330 12.65350 0.00542 
 2455204.568394 12.66754 0.00549 
 2455204.570455 12.66311 0.00557 
 2455204.572515 12.66352 0.00551 
 2455205.507481 12.66574 0.00557 
 2455205.509542 12.66510 0.00550 
 2455205.511602 12.66159 0.00550 
 2455205.513665 12.66872 0.00557 
 2455205.515722 12.66235 0.00528 
 2455205.517784 12.65843 0.00544 
 2455205.519846 12.68433 0.00565 
 2455205.521922 12.66596 0.00561 
 2455205.523982 12.67066 0.00555 
 2455205.526043 12.66212 0.00542 
 2455205.528103 12.65820 0.00547 
 2455205.530167 12.67088 0.00541 
 2455205.532230 12.66153 0.00543 
 2455205.534291 12.66989 0.00556 
 2455205.536350 12.65883 0.00546 
 2455205.538409 12.67158 0.00562 
 2455205.540468 12.66201 0.00538 
 2455205.542579 12.65515 0.00541 
 2455205.544640 12.66493 0.00547 
 2455205.546698 12.66905 0.00542 
 2455205.548759 12.67560 0.00545 
 2455205.550816 12.66970 0.00557 
 2455205.552878 12.66624 0.00539 
 2455205.554882 12.66434 0.00541 
 2455205.556942 12.67016 0.00530 
 2455205.559001 12.66054 0.00532 
