\INPUT_FILE = /stage/nexsci-exo-data-prep/ETSS-prep/KELT/s34/raw/KELT_S34_lc_030753_V01_east_tfa.dat
\INPUT_TYPE = "RAW"
\START_DATE = "Sun Jan 03, 20:25:35 2010"               
\STOP_DATE = "Sun Apr 06, 17:48:45 2014"               
\fixlen = T
\NUMRECORDS = 2692     
\
\ This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu 
\ Wed Oct 23, 13:06:47 2019
\ Documentation for the KELT Survey dataset can be found at http://exoplanetarchive.ipac.caltech.edu/docs/KELT.html
\
|          TIME|     MAG|MAG_ERR|
|          real|    real|   real|
|             d|     mag|    mag|
|          null|    null|   null|
 2455200.351102 13.50710 0.01935 
 2455200.353162 13.51241 0.01824 
 2455200.357281 13.52617 0.01917 
 2455200.361403 13.51758 0.01975 
 2455200.363463 13.47928 0.01817 
 2455200.365523 13.48706 0.01845 
 2455200.367583 13.50699 0.01969 
 2455200.369643 13.52303 0.01973 
 2455200.371704 13.49657 0.01825 
 2455200.373763 13.50772 0.01798 
 2455200.375824 13.52474 0.01919 
 2455200.377887 13.49799 0.01786 
 2455200.379943 13.49592 0.01817 
 2455200.382003 13.50330 0.01901 
 2455200.384063 13.54502 0.01954 
 2455200.386119 13.52231 0.01837 
 2455200.388181 13.49139 0.01783 
 2455200.392297 13.51045 0.01843 
 2455200.394354 13.47983 0.01768 
 2455200.396415 13.50242 0.01825 
 2455200.398475 13.54206 0.01896 
 2455200.400534 13.49333 0.01802 
 2455200.402594 13.50731 0.01816 
 2455200.404654 13.50106 0.01744 
 2455200.406710 13.50298 0.01773 
 2455200.408773 13.50355 0.01779 
 2455200.410831 13.50676 0.01788 
 2455200.412893 13.50785 0.01740 
 2455200.414950 13.49286 0.01730 
 2455200.417008 13.46327 0.01696 
 2455200.419069 13.52272 0.01813 
 2455200.421127 13.49571 0.01716 
 2455200.423193 13.48449 0.01702 
 2455200.425253 13.49554 0.01657 
 2455200.427311 13.48697 0.01711 
 2455200.429368 13.50594 0.01723 
 2455200.431426 13.53247 0.01771 
 2455200.433486 13.48832 0.01700 
 2455200.435547 13.50459 0.01720 
 2455200.437609 13.51775 0.01700 
 2455200.439667 13.50351 0.01710 
 2455200.441728 13.48852 0.01690 
 2455200.443787 13.47590 0.01657 
 2455200.445849 13.47100 0.01634 
 2455200.447907 13.48397 0.01696 
 2455200.449966 13.49969 0.01669 
 2455200.452024 13.50555 0.01684 
 2455200.454083 13.53217 0.01747 
 2455200.456142 13.51745 0.01677 
 2455200.458201 13.51134 0.01713 
 2455200.460261 13.48080 0.01668 
 2455200.462318 13.49566 0.01636 
 2455200.464379 13.49736 0.01650 
 2455200.466437 13.49890 0.01650 
 2455200.468499 13.54129 0.01677 
 2455200.470557 13.53163 0.01710 
 2455200.472617 13.50184 0.01671 
 2455200.474676 13.49013 0.01629 
 2455200.476734 13.49626 0.01629 
 2455200.478794 13.52416 0.01675 
 2455200.480852 13.52735 0.01649 
 2455200.482910 13.50298 0.01608 
 2455200.484968 13.50718 0.01640 
 2455200.487026 13.53489 0.01656 
 2455200.489085 13.48082 0.01617 
 2455200.491143 13.50385 0.01629 
 2455200.493202 13.51196 0.01664 
 2455200.495259 13.47645 0.01565 
 2455200.497316 13.50761 0.01614 
 2455201.337122 13.50845 0.01452 
 2455201.339179 13.52705 0.01537 
 2455201.341241 13.52758 0.01469 
 2455201.343300 13.49829 0.01386 
 2455201.345357 13.53543 0.01470 
 2455201.347417 13.51374 0.01435 
 2455201.349474 13.51456 0.01513 
 2455201.351532 13.49277 0.01450 
 2455201.353591 13.51917 0.01486 
 2455201.355653 13.51467 0.01424 
 2455201.357713 13.50061 0.01446 
 2455201.359772 13.51695 0.01543 
 2455201.361832 13.53198 0.01591 
