\INPUT_FILE = /stage/nexsci-exo-data-prep/ETSS-prep/KELT/s35/raw/KELT_S35_lc_027682_V01_west_raw.dat
\INPUT_TYPE = "RAW"
\START_DATE = "Fri May 10, 17:31:41 2013"               
\STOP_DATE = "Thu Jun 01, 16:57:54 2017"               
\fixlen = T
\NUMRECORDS = 1386     
\
\ This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu 
\ Mon Oct 28, 13:52:03 2019
\ Documentation for the KELT Survey dataset can be found at http://exoplanetarchive.ipac.caltech.edu/docs/KELT.html
\
|          TIME|     MAG|MAG_ERR|
|          real|    real|   real|
|             d|     mag|    mag|
|          null|    null|   null|
 2456423.230346 13.13893 0.01084 
 2456423.244392 13.14317 0.01067 
 2456423.260748 13.15171 0.01037 
 2456423.274800 13.13614 0.01048 
 2456425.229079 13.11560 0.00983 
 2456425.243153 13.13270 0.01062 
 2456425.259498 13.13506 0.01013 
 2456431.217607 13.13081 0.01374 
 2456431.224871 13.15112 0.01342 
 2456431.232139 13.17345 0.01371 
 2456431.239753 13.17715 0.01437 
 2456431.247022 13.11789 0.01395 
 2456433.224962 13.14096 0.01593 
 2456433.229656 13.12076 0.01560 
 2456433.234314 13.11339 0.01580 
 2456433.238930 13.11357 0.01610 
 2456434.216598 13.13839 0.01550 
 2456436.218635 13.14867 0.01673 
 2456436.227778 13.16473 0.01641 
 2456436.236824 13.13356 0.01638 
 2456632.567226 13.12937 0.01080 
 2456632.582864 13.13336 0.01166 
 2456639.577157 13.42905 0.01000 
 2456639.588328 13.42836 0.01086 
 2456642.588221 13.13693 0.01616 
 2456652.518863 13.25050 0.01229 
 2456654.507840 13.12040 0.01073 
 2456654.533519 13.12190 0.01090 
 2456654.552577 13.14020 0.01068 
 2456654.571575 13.12611 0.01109 
 2456654.584903 13.10632 0.01136 
 2456657.530342 13.14408 0.00958 
 2456657.554670 13.15031 0.01002 
 2456657.579047 13.13172 0.00993 
 2456657.588521 13.13844 0.01013 
 2456658.488507 13.14236 0.01004 
 2456658.515045 13.12977 0.00995 
 2456658.586261 13.13523 0.01022 
 2456659.499983 13.13642 0.01118 
 2456659.524324 13.13007 0.01111 
 2456659.548640 13.14694 0.01082 
 2456659.572732 13.13822 0.01096 
 2456659.582134 13.13419 0.01083 
 2456659.589182 13.14991 0.01099 
 2456660.492124 13.14066 0.01050 
 2456660.518575 13.12275 0.01053 
 2456660.542925 13.16217 0.01050 
 2456660.567097 13.17627 0.01077 
 2456660.588893 13.00754 0.01079 
 2456660.595975 13.19640 0.01125 
 2456669.456096 13.31051 0.01245 
 2456669.486405 13.26091 0.01202 
 2456669.508121 13.24729 0.01159 
 2456669.533315 13.22300 0.00991 
 2456669.554803 13.19890 0.00970 
 2456669.574087 13.18923 0.00991 
 2456669.592245 13.17271 0.01034 
 2456670.452058 13.10051 0.01442 
 2456670.468829 13.08536 0.01447 
 2456670.485804 13.11965 0.01418 
 2456670.502818 13.11961 0.01398 
 2456677.444236 13.51137 0.01345 
 2456677.461333 13.52830 0.01398 
 2456677.473771 13.53136 0.01413 
 2456677.486010 13.50280 0.01397 
 2456677.498264 13.50259 0.01458 
 2456677.510514 13.46096 0.01405 
 2456677.522780 13.50363 0.01528 
 2456677.537231 13.44066 0.01494 
 2456677.549509 13.42592 0.01549 
 2456677.561881 13.42613 0.01612 
 2456677.574242 13.40704 0.01652 
 2456678.429526 13.13918 0.01216 
 2456678.439678 13.14037 0.01203 
 2456678.461409 13.10827 0.01293 
 2456678.478498 13.14357 0.01241 
 2456678.495460 13.13393 0.01260 
 2456678.512408 13.11177 0.01291 
 2456678.527134 13.11968 0.01294 
 2456678.539449 13.10448 0.01308 
 2456678.549544 13.13162 0.01360 
 2456678.559746 13.11495 0.01336 
 2456678.570031 13.10590 0.01344 
 2456679.433440 13.12645 0.01195 
 2456679.455329 13.14733 0.01206 
 2456679.472487 13.13529 0.01228 
 2456679.487326 13.17408 0.01222 
 2456679.502152 13.16461 0.01249 
 2456679.516963 13.13787 0.01282 
 2456679.527160 13.11705 0.01634 
 2456679.552493 13.14367 0.01376 
 2456679.559717 13.13411 0.01391 
 2456679.566973 13.13633 0.01355 
 2456681.434502 13.13776 0.01056 
 2456681.456158 13.14735 0.01103 
 2456681.475685 13.13624 0.01129 
 2456681.490482 13.13839 0.01121 
 2456681.507612 13.13670 0.01138 
 2456681.522557 13.12781 0.01152 
 2456681.532909 13.15836 0.01185 
 2456681.542392 13.14715 0.01181 
 2456681.551931 13.13030 0.01192 
 2456681.561452 13.13677 0.01233 
 2456682.440087 13.16072 0.00905 
 2456682.461726 13.14286 0.00966 
 2456682.481121 13.13467 0.00991 
 2456682.500526 13.16243 0.00998 
 2456682.517622 13.15682 0.01046 
 2456682.530135 13.12368 0.01036 
 2456682.545272 13.14480 0.01072 
 2456682.557139 13.14668 0.01063 
 2456683.421417 13.15679 0.01036 
 2456683.447398 13.14137 0.01105 
 2456683.468844 13.15082 0.01071 
 2456683.485702 13.14337 0.01076 
 2456683.504879 13.17277 0.01088 
 2456683.531616 13.15634 0.01134 
 2456684.418171 13.15078 0.00927 
 2456684.444198 13.13348 0.00932 
 2456684.467927 13.13806 0.00919 
 2456684.489357 13.14331 0.00922 
 2456684.510841 13.15097 0.00930 
 2456684.530175 13.14760 0.00947 
 2456684.548070 13.14966 0.00965 
 2456685.414255 13.51445 0.00883 
 2456685.440290 13.52563 0.00923 
 2456685.463993 13.51426 0.00868 
 2456685.535929 13.55108 0.00907 
 2456685.555149 13.51057 0.00897 
 2456688.411695 13.27466 0.00937 
 2456688.438621 13.25411 0.00968 
 2456688.460083 13.25576 0.00960 
 2456688.481485 13.32024 0.00975 
 2456689.515152 13.15319 0.01005 
 2456690.421377 13.14709 0.00997 
 2456690.445135 13.14796 0.01010 
 2456690.469665 13.14633 0.01047 
 2456690.493434 13.14264 0.01060 
 2456690.514893 13.13322 0.01059 
 2456690.534918 13.12144 0.01073 
 2456691.418532 13.13807 0.00964 
 2456691.442337 13.13125 0.00986 
 2456691.466776 13.13182 0.01016 
 2456691.490419 13.13192 0.01038 
 2456692.409727 13.16328 0.00970 
 2456692.490864 13.15265 0.00980 
 2456692.510332 13.16137 0.01019 
 2456692.532520 13.14416 0.01013 
 2456693.427010 13.26462 0.00896 
 2456693.524396 13.38238 0.00870 
 2456694.410372 13.15442 0.01021 
 2456695.388098 13.13757 0.01044 
 2456695.409755 13.14318 0.01020 
 2456695.433578 13.14505 0.00980 
 2456695.467030 13.16276 0.00990 
 2456695.490864 13.13644 0.01019 
 2456696.386327 13.16029 0.01098 
 2456696.407917 13.14365 0.01080 
 2456696.431754 13.16108 0.01041 
 2456696.453427 13.18099 0.00957 
 2456696.477269 13.20558 0.00966 
 2456696.498863 13.18643 0.01050 
 2456696.519018 13.19594 0.01022 
 2456697.386112 13.24807 0.01192 
 2456697.403067 13.24422 0.01170 
 2456697.422190 13.19769 0.01202 
 2456697.450922 13.23487 0.01186 
 2456697.470454 13.21079 0.01115 
 2456705.436927 13.34275 0.01837 
 2456707.399744 13.13923 0.01317 
 2456707.416706 13.13064 0.01358 
 2456707.451505 13.14563 0.01450 
 2456707.469944 13.10733 0.01475 
 2456707.479502 13.09865 0.01508 
 2456708.369949 13.13565 0.01151 
 2456708.389431 13.13993 0.01190 
 2456708.406514 13.11881 0.01188 
 2456708.423589 13.10643 0.01186 
 2456708.440724 13.12177 0.01236 
 2456710.364210 13.28414 0.00904 
 2456710.385880 13.27699 0.01016 
 2456711.358431 13.12222 0.00954 
 2456711.382334 13.11141 0.00944 
 2456711.406252 13.10846 0.00990 
 2456711.430269 13.12403 0.01037 
 2456711.449654 13.12084 0.01095 
 2456711.469272 13.11183 0.01132 
 2456713.332776 13.45925 0.00931 
 2456713.347394 13.45300 0.00965 
 2456713.371201 13.46270 0.00930 
 2456713.392798 13.43772 0.00934 
 2456713.440480 13.48124 0.00979 
 2456713.462225 13.42516 0.00913 
 2456714.331004 13.12206 0.00968 
 2456714.345737 13.11941 0.00986 
 2456714.368900 13.13852 0.00982 
 2456714.390523 13.15230 0.00982 
 2456714.414520 13.13956 0.01023 
 2456714.438387 13.13387 0.01020 
 2456715.418828 13.14980 0.01015 
 2456715.445590 13.12576 0.01049 
 2456715.466015 13.13191 0.01053 
 2456717.341773 13.12251 0.01004 
 2456717.365575 13.13326 0.01016 
 2456717.389448 13.13283 0.01024 
 2456717.413335 13.13233 0.01020 
 2456717.435031 13.14872 0.01043 
 2456717.456573 13.16438 0.01067 
 2456718.330535 13.51893 0.00966 
 2456718.357665 13.52763 0.00925 
 2456718.379235 13.53915 0.00936 
 2456718.403183 13.49074 0.00960 
 2456718.427042 13.46145 0.00982 
 2456718.448771 13.40850 0.00974 
 2456719.315976 13.11745 0.00971 
 2456719.330548 13.12002 0.00991 
 2456719.354321 13.12072 0.00990 
 2456719.375866 13.14075 0.00980 
 2456719.399767 13.12010 0.01009 
 2456719.423588 13.12769 0.01006 
 2456719.445325 13.13238 0.00994 
 2456721.327727 13.42691 0.00909 
 2456721.349404 13.42942 0.00923 
 2456721.371008 13.45593 0.00919 
 2456721.394883 13.47432 0.00963 
 2456721.423880 13.48388 0.00974 
 2456722.312987 13.16217 0.00965 
 2456722.339148 13.13433 0.00984 
 2456722.368629 13.14555 0.00991 
 2456722.392556 13.14600 0.00999 
 2456722.416394 13.16159 0.01011 
 2456722.443273 13.14495 0.00996 
 2456723.319351 13.16351 0.01022 
 2456723.343952 13.15217 0.01013 
 2456723.369994 13.15936 0.00987 
 2456723.394493 13.13987 0.00974 
 2456723.416276 13.13547 0.01006 
 2456723.438261 13.14037 0.01006 
 2456724.312568 13.13149 0.01075 
 2456724.329671 13.12883 0.01049 
 2456724.357685 13.13223 0.01052 
 2456724.374712 13.14201 0.01036 
 2456724.394240 13.15257 0.01002 
 2456724.415913 13.13508 0.00979 
 2456724.437653 13.13162 0.00998 
 2456725.305661 13.14547 0.01128 
 2456725.322763 13.15125 0.01117 
 2456725.339735 13.15037 0.01128 
 2456725.356628 13.12627 0.01157 
 2456725.373571 13.14282 0.01154 
 2456725.393055 13.15801 0.01167 
 2456725.414809 13.15154 0.01093 
 2456725.437409 13.15650 0.01034 
 2456732.288968 13.10695 0.01676 
 2456732.310773 13.13361 0.01690 
 2456732.327933 13.13054 0.01733 
 2456732.345028 13.13074 0.01767 
 2456732.362129 13.10125 0.01751 
 2456732.379167 13.13158 0.01833 
 2456732.393862 13.11769 0.01921 
 2456732.408766 13.13298 0.01946 
 2456732.421183 13.13096 0.02015 
 2456733.294883 13.09578 0.01884 
 2456733.314290 13.14009 0.01856 
 2456733.329169 13.16151 0.01860 
 2456733.346219 13.12348 0.01880 
 2456733.363248 13.11455 0.01949 
 2456733.378142 13.11748 0.01958 
 2456733.388348 13.12019 0.02000 
 2456733.398579 13.11919 0.02018 
 2456733.408889 13.13944 0.02160 
 2456733.419148 13.13253 0.02131 
 2456734.299876 13.26524 0.01516 
 2456734.321175 13.26605 0.01569 
 2456734.340136 13.31495 0.01593 
 2456734.358291 13.32589 0.01608 
 2456734.374392 13.33085 0.01645 
 2456734.388559 13.38857 0.01697 
 2456734.401838 13.42511 0.01732 
 2456734.412174 13.38835 0.01778 
 2456734.422836 13.42117 0.01903 
 2456735.289744 13.13121 0.01335 
 2456735.311578 13.15179 0.01349 
 2456735.328822 13.13822 0.01364 
 2456735.343761 13.14370 0.01411 
 2456735.361034 13.13952 0.01449 
 2456735.376115 13.14635 0.01443 
 2456735.386522 13.12393 0.01490 
 2456735.398264 13.11555 0.01532 
 2456735.407833 13.13667 0.01533 
 2456735.417357 13.11732 0.01573 
 2456736.287926 13.12886 0.01182 
 2456736.334627 13.13104 0.01299 
 2456736.354094 13.13424 0.01318 
 2456736.371410 13.14582 0.01380 
 2456736.383987 13.11506 0.01383 
 2456736.399154 13.11214 0.01414 
 2456736.411018 13.14572 0.01483 
 2456737.374744 13.17532 0.01299 
 2456737.387458 13.21210 0.01327 
 2456737.399509 13.16982 0.01391 
 2456737.411447 13.20795 0.01408 
 2456738.395389 13.21071 0.01449 
 2456739.263831 13.13511 0.00995 
 2456739.278526 13.14415 0.00996 
