\INPUT_FILE = /stage/nexsci-exo-data-prep/ETSS-prep/KELT/s38/raw/KELT_S38_lc_083844_V01_east_raw.dat
\INPUT_TYPE = "RAW"
\START_DATE = "Sat Dec 21, 01:39:55 2013"               
\STOP_DATE = "Tue Dec 29, 01:51:13 2015"               
\fixlen = T
\NUMRECORDS = 989      
\
\ This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu 
\ Fri Nov 01, 18:20:39 2019
\ Documentation for the KELT Survey dataset can be found at http://exoplanetarchive.ipac.caltech.edu/docs/KELT.html
\
|          TIME|     MAG|MAG_ERR|
|          real|    real|   real|
|             d|     mag|    mag|
|          null|    null|   null|
 2456647.569395 14.55536 0.05055 
 2456648.565990 14.59619 0.04883 
 2456656.569332 14.53230 0.02905 
 2456657.544760 14.53916 0.03157 
 2456657.568958 14.56097 0.03027 
 2456658.545567 14.50690 0.03327 
 2456659.538761 14.51628 0.03762 
 2456659.562889 14.54499 0.03433 
 2456660.533010 14.53249 0.03691 
 2456660.557234 14.55714 0.03653 
 2456660.583645 14.54645 0.03384 
 2456669.523624 14.80716 0.03624 
 2456669.547427 14.82448 0.02979 
 2456669.568990 14.79995 0.02908 
 2456670.514790 14.47196 0.04708 
 2456671.503369 14.53777 0.05116 
 2456671.513205 14.47678 0.04970 
 2456671.523773 14.55899 0.04820 
 2456671.541090 14.51409 0.04671 
 2456671.558069 14.46695 0.04392 
 2456671.573017 14.51968 0.04232 
 2456672.504162 14.63212 0.05706 
 2456672.523757 14.53150 0.05082 
 2456672.540974 14.44755 0.05430 
 2456672.557976 14.46553 0.05252 
 2456672.577480 14.60096 0.05533 
 2456673.498104 14.46008 0.06380 
 2456673.512734 14.53003 0.06087 
 2456673.527442 14.58901 0.06065 
 2456673.542266 14.48242 0.05941 
 2456673.556941 14.53794 0.05829 
 2456673.571623 14.52541 0.05844 
 2456673.586413 14.48325 0.05724 
 2456674.500371 14.55777 0.05466 
 2456674.512684 14.49004 0.05175 
 2456674.525068 14.52215 0.05384 
 2456674.537421 14.48761 0.05135 
 2456674.549780 14.54374 0.05156 
 2456674.562156 14.55124 0.05164 
 2456674.574579 14.56282 0.04956 
 2456674.586892 14.54151 0.04748 
 2456675.531086 14.50848 0.06354 
 2456675.543558 14.53714 0.06908 
 2456676.486716 14.51537 0.05034 
 2456676.499069 14.54310 0.04828 
 2456676.511477 14.51789 0.04642 
 2456676.523837 14.54311 0.04650 
 2456676.536210 14.56588 0.04751 
 2456676.548609 14.56320 0.04801 
 2456676.558565 14.52564 0.04710 
 2456676.586398 14.49783 0.04450 
 2456677.483313 14.59884 0.04882 
 2456677.495583 14.54862 0.04787 
 2456677.507807 14.51836 0.04766 
 2456677.520076 14.55465 0.04471 
 2456677.532328 14.53892 0.04527 
 2456677.544628 14.53338 0.04429 
 2456677.554474 14.55964 0.04509 
 2456677.566847 14.45496 0.04388 
 2456677.579178 14.53546 0.04472 
 2456678.490499 14.54126 0.04539 
 2456678.507464 14.57510 0.04097 
 2456678.524395 14.54152 0.04248 
 2456678.536734 14.42940 0.04278 
 2456678.546849 14.50069 0.04084 
 2456678.554533 14.57669 0.04180 
 2456678.564722 14.53287 0.04038 
 2456678.575005 14.50673 0.04025 
 2456678.585113 14.57739 0.03946 
 2456684.479856 14.69379 0.02828 
 2456684.503596 14.59026 0.02864 
 2456684.522909 14.63024 0.02803 
 2456684.537476 14.63050 0.02785 
 2456684.557667 14.66170 0.02814 
 2456684.572370 14.57319 0.02909 
 2456684.587078 14.55673 0.02895 
 2456685.475933 14.54310 0.01797 
 2456685.545564 14.59697 0.02927 
 2456685.564751 14.54009 0.02994 
 2456685.581649 14.51204 0.02849 
 2456685.598562 14.53209 0.02971 
 2456686.555055 14.55988 0.02897 
 2456688.471988 14.53131 0.03122 
 2456688.495820 14.54656 0.03072 
 2456689.522538 14.56626 0.03050 
 2456690.457119 14.59203 0.03300 
 2456690.483907 14.64711 0.03322 
 2456690.505475 14.59263 0.03187 
 2456690.522129 14.67552 0.03284 
 2456690.544542 14.69757 0.03169 
 2456690.563872 14.65009 0.03113 
 2456690.585275 14.60955 0.03015 
 2456691.454270 14.55751 0.03095 
 2456691.480946 14.57442 0.03135 
 2456691.598961 14.48041 0.03169 
 2456692.500751 14.55264 0.02928 
 2456692.517686 14.59842 0.02950 
 2456692.574892 14.52673 0.03005 
 2456693.514672 14.55566 0.02681 
 2456693.556313 14.54843 0.02836 
 2456693.582884 14.53904 0.03105 
 2456694.468494 14.52070 0.03039 
 2456695.457462 14.54517 0.03129 
 2456695.481325 14.53688 0.02973 
 2456696.443833 14.54601 0.03298 
 2456696.467722 14.46280 0.03084 
 2456696.489381 14.56905 0.02873 
 2456696.506183 14.54092 0.02991 
 2456696.528643 14.52246 0.03151 
 2456696.559835 14.59532 0.03245 
 2456696.581589 14.69537 0.03345 
 2456697.443650 14.53649 0.03713 
 2456697.463068 14.53378 0.03300 
 2456697.531649 14.52669 0.02966 
 2456697.551017 14.55082 0.02952 
 2456697.575003 14.49632 0.02931 
 2456698.431103 14.58421 0.04182 
 2456698.450561 14.58765 0.04111 
 2456698.467713 14.53266 0.03902 
 2456698.484784 14.53240 0.03784 
 2456698.499320 14.53805 0.03423 
 2456698.519483 14.55759 0.03023 
 2456698.538951 14.51669 0.03027 
 2456698.563189 14.50797 0.03144 
 2456698.582440 14.53669 0.03094 
 2456699.429444 14.51236 0.04355 
 2456699.449112 14.53453 0.04123 
 2456699.466278 14.51898 0.04212 
 2456699.483210 14.58181 0.04086 
 2456699.497687 14.58302 0.03969 
 2456699.517875 14.52348 0.03729 
 2456699.537210 14.53333 0.03363 
 2456699.558777 14.51536 0.02924 
 2456699.581160 14.38840 0.03188 
 2456700.426856 14.53575 0.04787 
 2456700.441482 14.55487 0.04818 
 2456700.456106 14.54534 0.04532 
 2456700.470710 14.57991 0.04561 
 2456700.485288 14.56000 0.04482 
 2456700.502326 14.53825 0.04282 
 2456700.517083 14.49674 0.04162 
 2456700.534220 14.54886 0.04226 
 2456700.551380 14.56644 0.03938 
 2456700.570699 14.61354 0.03517 
 2456704.415782 14.52315 0.06521 
 2456704.425879 14.56103 0.06509 
 2456704.436081 14.49819 0.06432 
 2456704.446145 14.61573 0.06392 
 2456704.456221 14.51320 0.06150 
 2456704.466233 14.52638 0.06209 
 2456704.476315 14.56617 0.06086 
 2456704.486320 14.57252 0.06030 
 2456704.496391 14.53043 0.05829 
 2456704.506445 14.48934 0.05745 
 2456704.518842 14.67883 0.05850 
 2456704.531215 14.49567 0.05950 
 2456704.545795 14.61169 0.05749 
 2456705.431940 14.58535 0.05889 
 2456705.525828 14.54874 0.05234 
 2456705.550342 14.51994 0.05404 
 2456705.560604 14.57785 0.05438 
 2456706.563135 14.48687 0.05391 
 2456711.394324 14.54245 0.03123 
 2456711.420712 14.52179 0.03093 
 2456711.442377 14.54787 0.03252 
 2456711.459432 14.56490 0.03410 
 2456711.478842 14.58119 0.03304 
 2456711.493633 14.53230 0.03330 
 2456711.508424 14.56002 0.03301 
 2456711.523182 14.51383 0.03351 
 2456711.540335 14.56636 0.03401 
 2456712.518615 14.57687 0.03110 
 2456712.535956 14.55011 0.03145 
 2456712.548620 14.44075 0.03152 
 2456713.407129 14.54102 0.03318 
 2456713.431011 14.52787 0.03036 
 2456713.450204 14.55059 0.03008 
 2456713.471784 14.57196 0.02985 
 2456714.404851 14.48675 0.03280 
 2456714.428864 14.58445 0.03180 
 2456714.448109 14.53367 0.03182 
 2456715.409107 14.54116 0.03115 
 2456715.436016 14.57785 0.03135 
 2456715.453037 14.54696 0.02969 
 2456715.475668 14.57854 0.02908 
 2456715.495083 14.59597 0.02898 
 2456715.516765 14.51383 0.02936 
 2456715.536067 14.56739 0.02908 
 2456716.440592 14.53367 0.03057 
 2456717.377573 14.53719 0.03274 
 2456717.403769 14.56600 0.03168 
 2456717.425494 14.55020 0.03244 
 2456717.444632 14.55831 0.03144 
 2456717.466155 14.54848 0.03089 
 2456717.485432 14.53187 0.03146 
 2456717.504752 14.52974 0.03148 
 2456717.526291 14.54544 0.03129 
 2456718.393583 14.88985 0.03226 
 2456718.417494 14.84935 0.03033 
 2456718.436789 14.87179 0.03048 
