# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Tue Jan  6 21:24:27 2026
#
# COLUMN matchid:        User List Record
# COLUMN name_user:      User Name
# COLUMN ra_user:        User RA
# COLUMN dec_user:       User Dec
# COLUMN dist_user:      Match Distance
# COLUMN kelt_sourceid:  Source ID
# COLUMN kelt_field:     Survey Field
# COLUMN proc_type:      Processing
# COLUMN ra:             RA [decimal degrees]
# COLUMN dec:            Dec [decimal degrees]
# COLUMN bjdstart:       Start BJD [days]
# COLUMN bjdstop:        End BJD [days]
# COLUMN kelt_mag:       Magnitude
# COLUMN npts:           Points in Statistics Calculation
# COLUMN median:         Median of Time Series [mag]
# COLUMN stddevwrtmedian: Std dev of Time Series wrt median [mag]
# COLUMN range595:       5-95% range of Time Series[mag]
#
loc_rowid,matchid,name_user,ra_user,dec_user,dist_user,kelt_sourceid,kelt_field,proc_type,ra,dec,bjdstart,bjdstop,kelt_mag,npts,median,stddevwrtmedian,range595
1,1,TIC 81741369,107.06348801467000,-22.44034671610,0.00051751,KELT_S35_lc_006190_V01_east,S35,raw,107.06295,-22.44049,2456552.631241,2458027.610242,11.745,1498,11.736365,0.101725,0.250680
2,1,TIC 81741369,107.06348801467000,-22.44034671610,0.00051751,KELT_S35_lc_006190_V01_east,S35,tfa,107.06295,-22.44049,2456552.631241,2458027.610242,11.745,1399,11.735050,0.014609,0.022920
3,1,TIC 81741369,107.06348801467000,-22.44034671610,0.00051751,KELT_S35_lc_006190_V01_east,S35,tfa,107.06295,-22.44049,2456423.230346,2457906.206882,11.911,1289,11.895370,0.015919,0.027010
4,1,TIC 81741369,107.06348801467000,-22.44034671610,0.00051751,KELT_S35_lc_006190_V01_east,S35,raw,107.06295,-22.44049,2456423.230346,2457906.206882,11.911,1386,11.896640,0.112873,0.320490
5,8,TIC 123951716,103.61496151908000,-9.83655704583,0.00453788,KELT_S35_lc_034940_V01_east,S35,raw,103.61505,-9.83202,2456423.230346,2457867.313452,13.807,1384,13.826085,0.045073,0.088320
6,8,TIC 123951716,103.61496151908000,-9.83655704583,0.00453788,KELT_S35_lc_034940_V01_east,S35,raw,103.61505,-9.83202,2456552.631241,2458027.610242,13.369,1497,13.371840,0.027548,0.064550
7,8,TIC 123951716,103.61496151908000,-9.83655704583,0.00453788,KELT_S35_lc_034940_V01_east,S35,tfa,103.61505,-9.83202,2456423.230346,2457867.313452,13.807,1338,13.825570,0.019796,0.065520
8,8,TIC 123951716,103.61496151908000,-9.83655704583,0.00453788,KELT_S35_lc_034940_V01_east,S35,tfa,103.61505,-9.83202,2456552.631241,2458027.610242,13.369,1452,13.371820,0.013617,0.044820
9,11,TIC 56023695,113.07446512698000,-14.60812319403,0.00064473,KELT_S35_lc_028198_V01_east,S35,raw,113.07394,-14.60852,2456552.631241,2458027.610242,13.149,1498,13.119605,0.118521,0.353820
10,11,TIC 56023695,113.07446512698000,-14.60812319403,0.00064473,KELT_S35_lc_028198_V01_east,S35,tfa,113.07394,-14.60852,2456552.631241,2458027.610242,13.149,1468,13.130465,0.095543,0.318590
11,11,TIC 56023695,113.07446512698000,-14.60812319403,0.00064473,KELT_S35_lc_028198_V01_east,S35,tfa,113.07394,-14.60852,2456423.230346,2457906.206882,13.174,1346,13.155440,0.089013,0.293350
12,11,TIC 56023695,113.07446512698000,-14.60812319403,0.00064473,KELT_S35_lc_028198_V01_east,S35,raw,113.07394,-14.60852,2456423.230346,2457906.206882,13.174,1386,13.145610,0.115126,0.341490
13,13,TIC 82893635,124.94668255019999,-47.92530881744,0.00139368,KELT_S34_lc_017824_V01_east,S34,raw,124.94579,-47.92405,2456279.555490,2456822.225711,12.806,1458,12.806440,0.025966,0.056230
14,13,TIC 82893635,124.94668255019999,-47.92530881744,0.00139368,KELT_S34_lc_017824_V01_east,S34,raw,124.94579,-47.92405,2455200.351102,2456754.242198,12.937,2781,12.962700,0.025680,0.059110
15,13,TIC 82893635,124.94668255019999,-47.92530881744,0.00139368,KELT_S34_lc_017824_V01_east,S34,tfa,124.94579,-47.92405,2455200.351102,2456754.242198,12.937,2717,12.960960,0.010034,0.031590
16,13,TIC 82893635,124.94668255019999,-47.92530881744,0.00139368,KELT_S34_lc_017824_V01_east,S34,tfa,124.94579,-47.92405,2456279.555490,2456822.225711,12.806,1430,12.805360,0.010334,0.033010
17,14,TIC 196989952,95.51138635114000,40.35130149812,0.00122730,KELT_N04_lc_024754_V01_east,N04,tfa,95.51123,40.35008,2454035.962698,2454794.993484,15.394,192,15.385310,0.031913,0.103150
