# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Tue Jan  6 21:22:05 2026
#
# COLUMN matchid:        User List Record
# COLUMN name_user:      User Name
# COLUMN ra_user:        User RA
# COLUMN dec_user:       User Dec
# COLUMN dist_user:      Match Distance
# COLUMN sourceid:       Source ID
# COLUMN ra:             RA [decimal degrees]
# COLUMN dec:            Dec [decimal degrees]
# COLUMN hjdstart:       Start HJD_UTC [days]
# COLUMN hjdstop:        End HJD_UTC [days]
# COLUMN wasp_mag:       WASP-band [mag]
# COLUMN npts:           Points in Light Curve
# COLUMN tm_statnpts:    Points in Statistics Calculation
# COLUMN tm_median:      Median of Time Series [mag]
# COLUMN tm_stddevwrtmed: Std dev of Time Series wrt median [mag]
# COLUMN tm_range595:    5-95% range of Time Series[mag]
#
loc_rowid,matchid,name_user,ra_user,dec_user,dist_user,sourceid,ra,dec,hjdstart,hjdstop,wasp_mag,npts,tm_statnpts,tm_median,tm_stddevwrtmed,tm_range595
1,3,TIC 274182408,304.81292900000000,41.47706700000000,0.00000672,1SWASP J201915.10+412837.4,304.812933,41.477061,2453901.691470,2454399.475324,11.78601,2299,2299,1.169036e+01,9.339986e-02,2.857500e-01
2,5,TIC 124282654,197.43816330889999,-34.14958647580000,0.00003190,1SWASP J130945.15-340858.5,197.438125,-34.149583,2453860.216875,2454662.266123,12.02148,13879,13879,1.201600e+01,5.575366e-02,9.772000e-02
3,14,TIC 196989952,95.51138635114000,40.35130149812000,0.00516058,1SWASP J062201.29+402055.9,95.505408,40.348878,2453833.353519,2454543.407431,11.47531,8116,8116,1.145386e+01,1.236087e-01,2.900700e-01
4,14,TIC 196989952,95.51138635114000,40.35130149812000,0.00467593,1SWASP J062201.40+402057.4,95.505850,40.349286,2453833.353519,2454543.407431,11.46985,8115,8115,1.144778e+01,1.245240e-01,2.918800e-01
5,14,TIC 196989952,95.51138635114000,40.35130149812000,0.00000828,1SWASP J062202.73+402104.6,95.511397,40.351303,2453833.353519,2454543.407431,11.33960,8130,8130,1.130414e+01,1.434597e-01,2.977900e-01
6,19,TIC 252497283,344.29381168128998,50.36852338063000,0.00002157,1SWASP J225710.50+502206.6,344.293778,50.368525,2453901.681875,2454670.725428,11.48954,1562,1562,1.149815e+01,2.033702e-01,2.667300e-01
7,20,TIC 167699456,80.16989400000000,-41.39258700000000,0.00003360,1SWASP J052040.76-412333.2,80.169858,-41.392567,2453993.490370,2454509.387060,13.87066,9746,9746,1.386746e+01,6.908374e-02,1.848000e-01
8,23,TIC 158330804,163.18028396445999,-37.09919832208000,0.00002470,1SWASP J105243.26-370557.1,163.180267,-37.099219,2453860.212558,2454660.209954,11.56734,14856,14856,1.156371e+01,2.455713e-01,1.036600e-01
9,24,TIC 115396972,285.79485963064002,25.29217538345000,0.00000382,1SWASP J190310.76+251731.8,285.794858,25.292172,2453951.383935,2453951.397315,8.65476,2,2,8.654756e+00,1.088237e-03,0.000000e+00
10,25,TIC 399127035,23.55233900000000,59.94047400000000,0.00791087,1SWASP J013409.06+595614.7,23.537764,59.937428,2454666.690949,2454670.728484,12.70800,47,47,1.270435e+01,6.623589e-02,2.128900e-01
11,25,TIC 399127035,23.55233900000000,59.94047400000000,0.00042743,1SWASP J013412.76+595625.4,23.553183,59.940411,2454666.690949,2454670.728484,12.82250,49,49,1.281357e+01,6.210651e-02,1.910700e-01
12,26,TIC 355503224,79.00667500000000,49.17420900000000,0.00002151,1SWASP J051601.60+491027.2,79.006697,49.174225,2453225.721019,2454516.457558,12.44672,4666,4666,1.242295e+01,1.315949e-01,3.516700e-01
13,27,TIC 95622298,121.52835511809000,25.41555050869000,0.00000792,1SWASP J080606.80+252456.0,121.528358,25.415558,2453261.742523,2454591.387176,11.96109,3964,3964,1.201412e+01,6.754521e-02,2.218800e-01
14,29,TIC 198242678,249.76658101543001,60.69966063245000,0.00000553,1SWASP J163903.97+604158.7,249.766572,60.699664,2453951.395498,2453953.419109,8.49847,16,16,8.419681e+00,2.078472e-01,4.561580e-01
15,29,TIC 198242678,249.76658101543001,60.69966063245000,0.00229481,1SWASP J163904.07+604207.0,249.766983,60.701947,2453951.395498,2453953.419109,8.48261,16,16,8.405627e+00,1.999064e-01,4.404930e-01
16,30,TIC 84546771,96.59954151037000,27.94561766518000,0.00001171,1SWASP J062623.89+275644.1,96.599542,27.945606,2453232.734942,2454573.368021,10.65008,9704,9704,1.061928e+01,1.102139e-01,2.908200e-01
17,30,TIC 84546771,96.59954151037000,27.94561766518000,0.00508129,1SWASP J062624.96+275632.7,96.604019,27.942428,2453232.734942,2454573.368021,10.75303,9722,9722,1.072298e+01,1.150554e-01,2.900900e-01
18,31,TIC 291751499,359.12712815704998,36.48159647346000,0.00002769,1SWASP J235630.50+362853.7,359.127094,36.481600,2453154.698657,2454670.726238,12.30146,22623,22622,1.225300e+01,1.178759e-01,2.979000e-01
19,32,TIC 167756615,81.14123606660000,-38.56419765901000,0.00604479,1SWASP J052434.83-383409.9,81.145125,-38.569422,2453993.499062,2454509.387245,9.84541,18114,18114,9.840005e+00,5.200057e-02,6.472900e-02
20,32,TIC 167756615,81.14123606660000,-38.56419765901000,0.00001129,1SWASP J052433.89-383351.1,81.141242,-38.564208,2453993.499062,2454509.387245,9.79360,18133,18133,9.789277e+00,5.113583e-02,5.928200e-02
21,33,TIC 441496809,23.50093200000000,-20.85437400000000,0.00004576,1SWASP J013400.21-205115.8,23.500897,-20.854406,2453886.666470,2454688.686354,13.85465,9590,9590,1.384684e+01,1.189665e-01,2.865800e-01
22,35,TIC 121092916,57.33600000000000,-23.52418500000000,0.00005593,1SWASP J034920.62-233127.0,57.335939,-23.524186,2453964.547211,2454485.438252,12.97981,8673,8673,1.296762e+01,1.293507e-01,2.432600e-01
