TICID,PrimaryP,PrimaryP_Err,SecondaryP,SecondaryP_Err
TIC123951716,23.10650956,0.000340015,23.10650343,0.021068413
TIC81741369,10.09199321,8.69E-05,10.09196203,3.72E-05
TIC293225466,129.3213792,0.000767034,129.3210413,0.000162225
TIC457579488,14.69252345,0.000467498,14.69255412,0.000266521
TIC158330804,11.35501094,0.000234356,11.35502921,0.000221869
TIC286310830,8.368726258,6.62E-05,8.368736295,0.000170418
TIC274182408,6.554058069,0.000430678,6.554090534,0.000532499
TIC292357653,23.14763734,0.000181974,23.14764747,0.000143869
TIC124282654,11.32924985,0.000295828,11.32926682,0.000226152
TIC51629874,6.46515634,0.000345592,6.465284658,0.001330214
TIC396170777,6.565652164,0.000177455,6.565662695,0.000114180
TIC56023695,8.177942179,0.001432022,8.177955192,0.001226909
TIC253270207,6.106126422,0.000191118,6.106058285,0.007973
TIC82893635,28.55039979,0.000120111,28.55048316,0.00065032
TIC146204045,14.19212383,0.001085072,14.19208372,0.000226953
TIC283651681,7.622035323,0.01566136,7.622037899,0.012858512
TIC61656788,4.302836394,4.39E-05,4.302861788,0.005261858
TIC444544588,16.34926569,0.001122363,16.34930619,0.001417048
TIC139699256,5.952576234,0.000763842,5.952570452,4.80E-05
TIC252497283,5.0403002,0.000121533,5.0403049,0.000401548
TIC196989952,7.280829279,0.00993881,7.280838749,0.000765053
TIC167699456,18.74340001,0.000118515,18.74318158,0.001995982
TIC343127696,4.672293251,0.000983506,4.672286978,0.000695663
TIC115396972,19.80880743,0.002580559,19.80928052,0.0023882
TIC399127035,5.448595863,0.000614631,5.448587578,0.001094036
TIC355503224,6.924724325,0.000296807,6.924721063,0.00018994
TIC95622298,4.512312443,0.000246469,4.512316407,0.000149315
TIC64366964,4.45940717,0.000554098,4.459427951,0.00054241
TIC291751499,5.195663188,0.000198839,5.195666025,0.000222756
TIC198242678,4.629766959,0.00250981,4.629784888,0.0064806144
TIC84546771,4.283667911,0.010125414,4.283678614,0.001248497
TIC167756615,19.18104387,0.000526082183,19.18106985,0.0078395187
TIC441496809,5.754233241,0.0004094054166,5.75420661,0.00068457830
TIC165615442,5.474828366,0.00049170499,5.474810666,0.00085863311
TIC121092916,8.219819727,9.67E-05,8.219779703,0.000286038
TIC342356517,11.966601,0.000236189,11.96657683,0.000910376
